# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
100 160.835 -2409.5
200 193.074 -2441.75
300 258.267 -2506.95
400 277.493 -2526.17
500 298.019 -2546.7
600 303.417 -2552.1
700 315.706 -2564.39
800 337.616 -2586.3
900 328.826 -2577.51
1000 323.266 -2571.95
1100 344.171 -2592.86
1200 340.017 -2588.7
1300 355.317 -2604.02
1400 346.16 -2594.86
1500 332.299 -2580.99
1600 326.251 -2574.94
1700 333.942 -2582.63
1800 341.002 -2589.7
1900 343.256 -2591.95
2000 341.811 -2590.5
2100 364.176 -2612.87
2200 359.353 -2608.04
2300 350.399 -2599.09
2400 374.75 -2623.44
2500 349.861 -2598.55
2600 360.929 -2609.62
2700 359.137 -2607.83
2800 357.592 -2606.29
2900 362.53 -2611.22
3000 352.553 -2601.25
3100 385.337 -2634.04
3200 378.239 -2626.93
3300 377.48 -2626.18
3400 368.957 -2617.66
3500 362.815 -2611.51
3600 371.007 -2619.7
3700 377.234 -2625.94
3800 364.5 -2613.19
3900 374.242 -2622.94
4000 378.781 -2627.48
4100 365.403 -2614.09
4200 359.092 -2607.79
4300 378.817 -2627.52
4400 358.673 -2607.36
4500 382.607 -2631.31
4600 351.183 -2599.88
4700 368.443 -2617.12
4800 366.662 -2615.36
4900 375.542 -2624.24
5000 381.223 -2629.92
5100 385.736 -2634.44
5200 377.32 -2626.01
5300 383.156 -2631.85
5400 377.992 -2626.69
5500 381.519 -2630.22
5600 375.386 -2624.08
5700 392.005 -2640.71
5800 377.779 -2626.48
5900 388.615 -2637.31
6000 379.966 -2628.66
6100 391.07 -2639.77
6200 381.492 -2630.19
6300 389.441 -2638.15
6400 383.765 -2632.46
6500 390.911 -2639.61
6600 386.683 -2635.38
6700 388.374 -2637.07
6800 380.577 -2629.28
6900 371.402 -2620.1
7000 387.642 -2636.34
7100 379.692 -2628.38
7200 378.862 -2627.57
7300 368.158 -2616.85
7400 383.174 -2631.86
7500 375.642 -2624.34
7600 373.017 -2621.71
7700 379.414 -2628.11
7800 367.413 -2616.11
7900 374.988 -2623.68
8000 370.275 -2618.98
8100 392.926 -2641.63
8200 386.779 -2635.48
8300 391.435 -2640.13
8400 371.214 -2619.91
8500 381.15 -2629.84
8600 391.064 -2639.76
8700 376.978 -2625.67
8800 366.188 -2614.88
8900 391.619 -2640.32
9000 377.508 -2626.2
9100 383.878 -2632.57
9200 395.553 -2644.26
9300 403.083 -2651.79
9400 389.593 -2638.29
9500 382.679 -2631.38
9600 374.982 -2623.67
9700 383.508 -2632.21
9800 392.488 -2641.19
9900 367.565 -2616.25
10000 396.86 -2645.56
10100 378.051 -2626.75
10200 395.403 -2644.11
10300 360.159 -2608.85
10400 392.748 -2641.44
10500 393.084 -2641.78
10600 397.937 -2646.63
10700 384.196 -2632.9
10800 393.798 -2642.49
10900 377.77 -2626.45
11000 386.207 -2634.92
11100 376.53 -2625.22
11200 402.146 -2650.85
11300 388.174 -2636.87
