# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
100 5.32907e-15 2.66454e-15 3.10862e-15
200 -4.44089e-16 1.02141e-14 9.32587e-15
300 -1.77636e-15 2.30926e-14 1.68754e-14
400 -3.55271e-15 7.66054e-15 2.66454e-15
500 -3.37508e-14 1.37668e-14 1.68754e-14
600 -3.37508e-14 1.42109e-14 6.21725e-15
700 -1.5099e-14 5.32907e-15 2.66454e-15
800 -7.10543e-15 -5.77316e-15 -1.59872e-14
900 -7.10543e-15 -1.33227e-14 -7.10543e-15
1000 2.22045e-15 -2.57572e-14 -8.88178e-15
1100 -3.9968e-15 -3.37508e-14 -3.55271e-15
1200 -1.06581e-14 -2.30926e-14 -1.37668e-14
1300 -7.10543e-15 -4.52971e-14 -7.99361e-15
1400 -1.95399e-14 -3.01981e-14 8.88178e-15
1500 -1.06581e-14 -3.55271e-15 -1.95399e-14
1600 -1.77636e-14 -8.88178e-15 -2.84217e-14
1700 -3.19744e-14 -3.19744e-14 -7.99361e-15
1800 -2.30926e-14 -1.77636e-14 -3.01981e-14
1900 -1.82077e-14 3.55271e-15 -5.01821e-14
2000 -1.68754e-14 7.10543e-15 -3.28626e-14
2100 -8.88178e-15 0 -1.90958e-14
2200 -1.95399e-14 -3.33067e-14 -3.73035e-14
2300 -1.24345e-14 -4.35207e-14 -4.26326e-14
2400 -2.4869e-14 -2.57572e-14 -3.06422e-14
2500 -1.77636e-14 7.54952e-15 -1.24345e-14
2600 -1.59872e-14 1.68754e-14 4.44089e-15
2700 -4.88498e-14 9.76996e-15 2.57572e-14
2800 -4.08562e-14 2.93099e-14 9.76996e-15
2900 -5.32907e-14 1.24345e-14 -1.11022e-14
3000 -7.10543e-14 1.95399e-14 -1.24345e-14
3100 -7.23865e-14 1.77636e-14 -2.22045e-15
3200 -6.75016e-14 5.32907e-15 -1.24345e-14
3300 -6.75016e-14 1.86517e-14 -3.9968e-15
3400 -6.39488e-14 8.88178e-16 -2.37588e-14
3500 -8.17124e-14 -2.13163e-14 -3.9968e-14
3600 -7.32747e-14 -2.66454e-14 -4.08562e-14
3700 -9.01501e-14 -1.33227e-14 -2.57572e-14
3800 -8.26006e-14 -2.66454e-14 -4.44089e-15
3900 -9.37028e-14 -3.24185e-14 -5.77316e-15
4000 -1.04805e-13 -4.08562e-14 2.66454e-15
4100 -9.14824e-14 -5.63993e-14 2.22045e-14
4200 -9.99201e-14 -4.52971e-14 2.4869e-14
4300 -1.03029e-13 -4.44089e-14 1.06581e-14
4400 -1.02141e-13 -2.57572e-14 1.68754e-14
4500 -9.90319e-14 -1.06581e-14 3.55271e-14
4600 -1.08358e-13 0 8.88178e-15
4700 -1.16351e-13 -5.32907e-15 -5.32907e-15
4800 -1.13687e-13 -2.66454e-15 -3.01981e-14
4900 -1.23457e-13 -1.15463e-14 -4.9738e-14
5000 -1.28786e-13 -8.43769e-15 -6.12843e-14
5100 -1.33671e-13 -1.42109e-14 -3.37508e-14
5200 -1.33227e-13 -4.17444e-14 -2.84217e-14
5300 -1.38556e-13 -3.01981e-14 -3.9968e-14
5400 -1.44329e-13 -3.55271e-14 -3.64153e-14
5500 -1.31894e-13 -5.15143e-14 -3.88578e-14
5600 -1.42109e-13 -3.37508e-14 -4.88498e-14
5700 -1.4122e-13 -2.4869e-14 -3.28626e-14
5800 -1.35891e-13 -1.42109e-14 -3.01981e-14
5900 -1.54543e-13 -1.59872e-14 -3.55271e-14
6000 -1.7808e-13 -7.10543e-15 -3.73035e-14
6100 -1.73195e-13 -1.73195e-14 -4.44089e-14
6200 -1.69642e-13 5.32907e-15 -4.08562e-14
6300 -1.76748e-13 -1.5099e-14 -4.61853e-14
6400 -1.71418e-13 7.10543e-15 -4.9738e-14
6500 -1.63869e-13 -4.44089e-15 -4.26326e-14
