# Time-averaged data for fix dump_pressure
# TimeStep c_calc_pressure
100 2.44984
200 1.0322
300 1.76456
400 1.03572
500 0.760713
600 1.18026
700 1.29053
800 1.25847
900 0.521744
1000 1.46975
1100 1.2176
1200 0.531738
1300 1.41344
1400 0.666605
1500 1.25676
1600 1.19974
1700 0.785538
1800 0.25899
1900 0.636519
2000 1.34792
2100 0.793727
2200 0.7865
2300 1.02989
2400 1.0241
2500 0.659595
2600 1.51759
2700 0.798695
2800 1.19919
2900 0.860582
3000 0.521585
3100 1.16249
3200 0.562994
3300 0.988322
3400 0.948137
3500 0.977772
3600 0.396423
3700 0.91066
3800 0.213045
3900 -0.0703301
4000 1.11102
4100 0.875419
4200 0.626823
4300 0.69171
4400 0.736316
4500 0.626974
4600 1.10782
4700 1.26691
4800 1.11369
4900 1.05028
5000 0.758394
5100 1.2047
5200 0.863354
5300 1.17633
5400 0.87936
5500 1.18628
5600 0.868117
5700 0.751944
5800 0.675712
5900 0.310693
6000 0.559847
6100 0.221451
6200 0.592369
6300 0.802112
6400 0.581302
6500 0.138864
6600 0.726109
6700 0.39568
6800 -0.240768
6900 0.67869
7000 0.508706
7100 1.56464
7200 0.95834
7300 0.59508
7400 0.701764
7500 1.39835
7600 0.293585
7700 0.58954
7800 0.494841
7900 0.891748
8000 0.584626
8100 0.856917
8200 0.965637
8300 1.13166
8400 0.85513
8500 1.41546
8600 1.11491
8700 0.82939
8800 1.16711
8900 0.877056
9000 0.604611
9100 0.66556
9200 0.507925
9300 1.26409
9400 0.154178
9500 1.33937
9600 0.981057
9700 0.016148
9800 0.992197
9900 1.02181
10000 0.480088
10100 0.389602
10200 0.895551
10300 0.577374
10400 0.709296
10500 0.622611
10600 0.605645
10700 0.525622
10800 1.50359
10900 0.998505
11000 0.470617
11100 0.455678
11200 0.780323
11300 0.215457
11400 1.01353
11500 0.764491
11600 0.608023
11700 0.311325
11800 0.792961
11900 0.944709
12000 0.558595
12100 0.932464
12200 0.363099
12300 0.658404
12400 0.656453
12500 0.265369
12600 0.856934
12700 0.33699
12800 0.49252
12900 0.351672
13000 0.85551
13100 0.598578
13200 0.365934
13300 0.755994
13400 0.358624
13500 0.848621
13600 0.928627
13700 0.697409
13800 -0.272826
13900 0.666189
14000 0.672199
14100 0.33425
14200 0.415039
14300 0.29645
14400 0.324543
14500 1.00432
14600 0.768266
14700 0.665927
14800 1.0174
14900 1.03035
15000 1.06476
15100 1.13964
15200 0.492408
15300 0.966514
15400 0.273253
15500 1.00276
15600 1.40376
15700 0.458626
15800 0.798317
