# Time-averaged data for fix dump_temperature
# TimeStep c_calc_temperature
100 0.214446
200 0.257432
300 0.344356
400 0.369991
500 0.397359
600 0.404556
700 0.420942
800 0.450154
900 0.438435
1000 0.431021
1100 0.458895
1200 0.453356
1300 0.473756
1400 0.461546
1500 0.443065
1600 0.435001
1700 0.445256
1800 0.454669
1900 0.457674
2000 0.455748
2100 0.485568
2200 0.479137
2300 0.467199
2400 0.499666
2500 0.466481
2600 0.481239
2700 0.478849
2800 0.476789
2900 0.483373
3000 0.47007
3100 0.513782
3200 0.504319
3300 0.503307
3400 0.491943
3500 0.483753
3600 0.494675
3700 0.502979
3800 0.486
3900 0.498989
4000 0.505042
4100 0.487204
4200 0.47879
4300 0.50509
4400 0.47823
4500 0.510142
4600 0.468244
4700 0.491257
4800 0.488883
4900 0.500723
5000 0.508298
5100 0.514314
5200 0.503093
5300 0.510874
5400 0.503989
5500 0.508692
5600 0.500514
5700 0.522674
5800 0.503705
5900 0.518153
6000 0.506622
6100 0.521427
6200 0.508656
6300 0.519254
6400 0.511687
6500 0.521214
6600 0.515578
6700 0.517832
6800 0.507436
6900 0.495202
7000 0.516856
7100 0.506256
7200 0.505149
7300 0.490878
7400 0.510899
7500 0.500857
7600 0.497357
7700 0.505886
7800 0.489883
7900 0.499984
8000 0.493701
8100 0.523902
8200 0.515706
8300 0.521913
8400 0.494952
8500 0.508201
8600 0.521419
8700 0.502637
8800 0.48825
8900 0.522159
9000 0.503344
9100 0.511838
9200 0.527403
9300 0.537443
9400 0.519457
9500 0.510238
9600 0.499976
9700 0.511343
9800 0.523317
9900 0.490087
10000 0.529146
10100 0.504068
10200 0.527204
10300 0.480213
10400 0.523664
10500 0.524112
10600 0.530582
10700 0.512261
10800 0.525064
10900 0.503693
11000 0.514943
11100 0.502039
11200 0.536195
11300 0.517565
11400 0.509668
11500 0.503706
11600 0.525616
11700 0.532948
11800 0.526099
11900 0.524071
12000 0.531539
12100 0.518101
12200 0.51799
12300 0.498839
12400 0.517035
12500 0.530597
12600 0.471244
12700 0.529358
12800 0.5074
12900 0.503392
13000 0.499685
13100 0.494193
13200 0.517523
13300 0.506606
13400 0.51924
13500 0.491826
13600 0.510965
13700 0.497757
13800 0.522195
13900 0.510318
14000 0.495946
14100 0.511843
14200 0.519059
14300 0.521239
14400 0.533479
14500 0.478843
14600 0.504235
14700 0.532894
14800 0.519085
14900 0.496876
15000 0.490868
15100 0.515871
15200 0.489511
15300 0.524762
15400 0.504558
15500 0.518282
15600 0.503356
15700 0.518692
15800 0.515249
15900 0.509
16000 0.505636
16100 0.52485
16200 0.501619
16300 0.506532
16400 0.511788
16500 0.554258
16600 0.512551
16700 0.514864
16800 0.505413
16900 0.528471
17000 0.525461
17100 0.515111
17200 0.523348
17300 0.543967
17400 0.539712
17500 0.519225
17600 0.538668
17700 0.54817
17800 0.51671
17900 0.534883
18000 0.546453
18100 0.522862
18200 0.528818
18300 0.528982
18400 0.506679
18500 0.520526
18600 0.544772
18700 0.536201
18800 0.501088
18900 0.532442
19000 0.52381
19100 0.524001
19200 0.530422
19300 0.515833
19400 0.533515
19500 0.552442
19600 0.535496
19700 0.520613
19800 0.517507
19900 0.511314
20000 0.514824
20100 0.527905
20200 0.515165
20300 0.534564
20400 0.518317
20500 0.514548
20600 0.517601
20700 0.521406
20800 0.533491
20900 0.525073
21000 0.507645
21100 0.511321
21200 0.493765
21300 0.526117
21400 0.52754
21500 0.522535
21600 0.501728
21700 0.51299
21800 0.517476
21900 0.544583
22000 0.544224
22100 0.502318
22200 0.543219
22300 0.515061
22400 0.508053
22500 0.517527
22600 0.509692
22700 0.547165
22800 0.515423
22900 0.555203
23000 0.532414
23100 0.549911
23200 0.533355
23300 0.514211
23400 0.533959
23500 0.539204
23600 0.516038
23700 0.509888
23800 0.532885
23900 0.528254
24000 0.526593
24100 0.530643
24200 0.535258
24300 0.535796
24400 0.538544
24500 0.539658
24600 0.535699
24700 0.526742
24800 0.523477
24900 0.519691
25000 0.53152
25100 0.53077
25200 0.526528
25300 0.498473
25400 0.52613
25500 0.537982
25600 0.526987
25700 0.549254
25800 0.534211
25900 0.548756
26000 0.537565
26100 0.539598
26200 0.518543
26300 0.524002
26400 0.549874
26500 0.546136
26600 0.521001
26700 0.525452
26800 0.516061
26900 0.519532
27000 0.540568
27100 0.492422
27200 0.52209
27300 0.535965
27400 0.520341
27500 0.542299
27600 0.521889
27700 0.532767
27800 0.53853
27900 0.52035
28000 0.527202
28100 0.527997
28200 0.530183
28300 0.538615
28400 0.540939
28500 0.55879
28600 0.525393
28700 0.5279
28800 0.541145
28900 0.526532
29000 0.495184
29100 0.535624
29200 0.503302
29300 0.519932
29400 0.543767
29500 0.523029
29600 0.552509
29700 0.516395
29800 0.519455
29900 0.530809
30000 0.515254
30100 0.530664
30200 0.538266
30300 0.507209
30400 0.509888
30500 0.556924
30600 0.556271
30700 0.523735
30800 0.526931
30900 0.508765
31000 0.546917
31100 0.518775
31200 0.519946
31300 0.525164
31400 0.531697
31500 0.540066
31600 0.493807
31700 0.534263
31800 0.536818
31900 0.533201
32000 0.523335
32100 0.534678
32200 0.540655
32300 0.515995
32400 0.516354
32500 0.510528
32600 0.546037
32700 0.519154
32800 0.512526
32900 0.529449
33000 0.534131
33100 0.495775
33200 0.528087
33300 0.524628
33400 0.535865
33500 0.509554
33600 0.50438
33700 0.538176
33800 0.504032
33900 0.522666
34000 0.515925
34100 0.528984
34200 0.516727
34300 0.542917
34400 0.532391
34500 0.520713
34600 0.558467
34700 0.535239
34800 0.506177
34900 0.524571
35000 0.542464
35100 0.520537
35200 0.516269
35300 0.51347
35400 0.537943
35500 0.539254
35600 0.525051
35700 0.513894
35800 0.503019
35900 0.52748
36000 0.536402
36100 0.512333
36200 0.521427
36300 0.532794
36400 0.528266
36500 0.54689
36600 0.5381
36700 0.518626
36800 0.512859
36900 0.495646
37000 0.528667
37100 0.520549
37200 0.525263
37300 0.550771
37400 0.543941
37500 0.517232
37600 0.513382
37700 0.525426
37800 0.540661
37900 0.559758
38000 0.538897
38100 0.486683
38200 0.553673
38300 0.538295
38400 0.528765
38500 0.539807
38600 0.534164
38700 0.554438
38800 0.541871
38900 0.520359
39000 0.547297
39100 0.532222
39200 0.524703
39300 0.511886
39400 0.537875
39500 0.536858
39600 0.543958
39700 0.511164
39800 0.519338
39900 0.525503
40000 0.547172
40100 0.535625
40200 0.535262
40300 0.536931
40400 0.540049
40500 0.517333
40600 0.504388
40700 0.521271
40800 0.510784
40900 0.522239
41000 0.527716
41100 0.493428
41200 0.506955
41300 0.52145
41400 0.535672
41500 0.528908
41600 0.493418
41700 0.516624
41800 0.517245
41900 0.531311
42000 0.520546
42100 0.543581
42200 0.534884
42300 0.532177
42400 0.514978
42500 0.530622
42600 0.52554
42700 0.539745
42800 0.548768
42900 0.523457
43000 0.528722
43100 0.50356
43200 0.500012
43300 0.512432
43400 0.529994
43500 0.488332
43600 0.52488
43700 0.541134
43800 0.503852
43900 0.543291
44000 0.508828
44100 0.559667
44200 0.534795
44300 0.508454
44400 0.529812
44500 0.510741
44600 0.532484
44700 0.515239
44800 0.529516
44900 0.541224
