# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
0 503.547 -5018.62
100 495.853 -5011.05
200 455.146 -4970.24
300 424.95 -4940.45
400 416.279 -4931.37
500 420.051 -4935.02
600 428.668 -4943.65
700 445.794 -4960.98
800 475.342 -4990.24
900 525.148 -5039.99
1000 576.755 -5091.96
1100 619.127 -5133.92
1200 650.425 -5164.9
1300 682.856 -5198.69
1400 705.293 -5220.63
1500 731.622 -5246.83
1600 774.696 -5289.54
1700 795.961 -5310.85
1800 812.127 -5326.8
1900 804.732 -5319.7
2000 797.922 -5313.03
2100 820.227 -5335.38
2200 844.371 -5359.63
2300 856.911 -5371.78
2400 859.917 -5375.09
2500 876.745 -5392.08
2600 889.488 -5404.31
2700 886.332 -5400.88
2800 895.124 -5410.52
2900 912.449 -5427.08
3000 915.076 -5430.03
3100 923.359 -5438.49
3200 924.481 -5439.86
3300 934.515 -5449.03
3400 927.734 -5442.16
3500 950.67 -5465.62
3600 980.83 -5496.3
3700 998.038 -5512.84
3800 1000.5 -5514.92
3900 989.079 -5503.87
4000 987.249 -5502.22
4100 992.187 -5507.42
4200 997.633 -5512.93
4300 996.695 -5511.77
4400 997.977 -5513.25
4500 1011.87 -5526.54
4600 1022.04 -5536.92
4700 1027.21 -5543.01
4800 1023.56 -5538.45
4900 1021.15 -5535.66
5000 1012.47 -5527.25
5100 1019.8 -5534.77
5200 1031.5 -5546.23
5300 1031.5 -5546.95
5400 1032.83 -5548.27
5500 1037.66 -5553.53
5600 1040.42 -5555.21
5700 1040.38 -5555.8
5800 1034.24 -5548.57
5900 1038.52 -5553.74
6000 1045.88 -5561.04
6100 1043.07 -5557.75
6200 1041.15 -5555.92
6300 1040.03 -5554.38
6400 1046.1 -5561.68
6500 1060.79 -5575.6
6600 1068.54 -5582.84
6700 1069.83 -5585.21
6800 1064.72 -5579.59
6900 1080.3 -5595.07
7000 1097.26 -5612.75
7100 1090.07 -5605.03
7200 1082.56 -5597.14
7300 1078.66 -5594.3
7400 1065.14 -5580.64
7500 1066.55 -5581.72
7600 1088.52 -5603.68
7700 1098.07 -5612.8
7800 1093.92 -5609.18
7900 1103.17 -5618.25
8000 1105.73 -5620.81
8100 1104.65 -5619.8
8200 1103.57 -5618.1
8300 1113.12 -5627.96
8400 1117.65 -5633.56
8500 1125.85 -5640.96
8600 1141.99 -5657.65
8700 1129.59 -5644.14
8800 1110.46 -5625.6
8900 1125.56 -5640.33
9000 1132.46 -5647.47
9100 1118 -5632.93
9200 1128.68 -5643.54
9300 1137.59 -5653.05
9400 1123.53 -5638.66
9500 1123.19 -5638.01
9600 1125.85 -5640.61
9700 1117.9 -5632.86
