# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
0 7.99361e-15 -5.32907e-15 -1.24345e-14
100 1.06581e-14 -3.4639e-14 -7.10543e-15
200 -2.22045e-14 -3.68594e-14 -5.15143e-14
300 -1.33227e-14 -2.08722e-14 -2.84217e-14
400 -2.84217e-14 -9.76996e-15 -2.79776e-14
500 -1.33227e-14 3.55271e-15 -3.81917e-14
600 -2.66454e-14 -2.26485e-14 -4.52971e-14
700 -2.04281e-14 -1.86517e-14 -3.73035e-14
800 -2.39808e-14 -8.43769e-15 -3.9968e-14
900 -2.13163e-14 -1.90958e-14 -8.08242e-14
1000 3.55271e-15 -9.76996e-15 -6.57252e-14
1100 1.59872e-14 -1.9984e-14 -2.66454e-14
1200 1.64313e-14 -5.55112e-14 -3.81917e-14
1300 2.44249e-14 -7.63833e-14 -2.9754e-14
1400 1.5099e-14 -5.63993e-14 -3.5083e-14
1500 5.39568e-14 -6.26166e-14 -4.30767e-14
1600 1.24345e-14 -7.26086e-14 -4.30767e-14
1700 1.59872e-14 -3.84137e-14 -5.4623e-14
1800 6.66134e-15 -4.39648e-14 -7.54952e-14
1900 8.88178e-15 -2.44249e-14 -1.13243e-13
2000 -3.19744e-14 -4.92939e-14 -9.32587e-14
2100 1.37668e-14 -8.26006e-14 -5.77316e-14
2200 1.77636e-15 -8.61533e-14 -6.30607e-14
2300 3.55271e-15 -9.59233e-14 -7.01661e-14
2400 -4.28546e-14 -8.26006e-14 -6.03961e-14
2500 -7.01661e-14 -6.12843e-14 -6.83897e-14
2600 -1.02141e-13 -6.03961e-14 -4.52971e-14
2700 -1.22569e-13 -2.84217e-14 -6.03961e-14
2800 -1.03029e-13 -5.9508e-14 -2.66454e-14
2900 -8.70415e-14 -7.72715e-14 -7.63833e-14
3000 -9.05942e-14 -3.81917e-14 -5.59552e-14
3100 -1.08358e-13 -3.01981e-14 -6.4837e-14
3200 -1.08358e-13 -3.19744e-14 -5.32907e-14
3300 -1.56319e-13 -3.9968e-14 -1.04805e-13
3400 -1.56319e-13 -4.35207e-14 -1.10134e-13
3500 -1.65201e-13 3.55271e-15 -1.63425e-13
3600 -1.24345e-13 0 -1.63425e-13
3700 -9.9476e-14 -8.88178e-15 -1.24345e-13
3800 -1.08358e-13 7.10543e-15 -1.93623e-13
