# Time-averaged data for fix dump_pressure
# TimeStep c_calc_pressure
0 3.35105
100 3.30122
200 3.28103
300 3.02118
400 2.56723
500 2.13422
600 1.89392
700 1.83978
800 1.88888
900 1.89137
1000 1.93678
1100 2.0853
1200 2.28688
1300 2.39135
1400 2.48865
1500 2.425
1600 2.14555
1700 2.02647
1800 2.02166
1900 2.25103
2000 2.46222
2100 2.36924
2200 2.19401
2300 2.10323
2400 2.06521
2500 1.89304
2600 1.76221
2700 1.76982
2800 1.66903
2900 1.52521
3000 1.52832
3100 1.53929
3200 1.64242
3300 1.72119
3400 1.9162
3500 1.85494
3600 1.72162
3700 1.72827
3800 1.88793
3900 2.14233
4000 2.24951
4100 2.18479
4200 2.02909
4300 1.88838
4400 1.73591
4500 1.55101
4600 1.48278
4700 1.54218
4800 1.73225
4900 1.90494
5000 2.07057
5100 2.04174
5200 1.9204
5300 1.84853
5400 1.75358
5500 1.63006
5600 1.58319
5700 1.58367
5800 1.65386
5900 1.57476
6000 1.45019
6100 1.43797
6200 1.46747
6300 1.54099
6400 1.56549
6500 1.55622
6600 1.59675
6700 1.66517
6800 1.74911
6900 1.59641
7000 1.39084
7100 1.3982
7200 1.42237
7300 1.40978
7400 1.47382
7500 1.41273
7600 1.20466
7700 1.16766
7800 1.27738
7900 1.30781
8000 1.39975
8100 1.53618
8200 1.66797
8300 1.65666
8400 1.63013
8500 1.55965
8600 1.42287
8700 1.57
8800 1.75429
8900 1.66062
9000 1.62056
9100 1.73907
9200 1.61551
9300 1.45292
9400 1.47137
9500 1.40995
9600 1.39376
9700 1.53876
9800 1.72858
9900 1.76998
10000 1.75409
10100 1.72532
10200 1.72532
10300 1.69332
10400 1.70017
10500 1.76625
10600 1.67814
10700 1.55516
10800 1.60362
10900 1.62654
11000 1.45086
11100 1.34279
11200 1.42997
11300 1.53166
11400 1.34819
11500 1.21588
11600 1.24302
11700 1.28106
11800 1.25197
11900 1.18137
12000 1.17602
12100 1.31166
12200 1.43292
12300 1.42535
12400 1.47885
12500 1.60535
12600 1.7244
12700 1.75137
12800 1.65934
12900 1.6576
13000 1.73586
13100 1.70392
13200 1.59544
13300 1.60811
13400 1.63642
13500 1.49359
13600 1.44881
13700 1.4824
13800 1.38677
13900 1.19763
14000 1.11611
14100 1.15922
14200 1.40424
14300 1.67312
14400 1.60577
14500 1.42567
14600 1.40378
14700 1.57801
14800 1.59973
14900 1.61968
15000 1.83611
15100 2.07761
15200 2.03591
15300 1.76666
15400 1.57993
15500 1.6401
15600 1.79925
15700 1.77241
15800 1.61859
15900 1.54931
16000 1.54823
16100 1.48507
16200 1.38099
16300 1.3676
16400 1.3299
16500 1.32008
16600 1.34286
16700 1.30358
16800 1.14969
16900 1.17359
17000 1.25043
17100 1.26722
17200 1.10468
17300 1.01508
17400 1.12755
17500 1.27731
17600 1.28128
17700 1.28634
17800 1.27034
17900 1.31511
18000 1.29187
18100 1.27212
18200 1.28762
18300 1.46631
18400 1.44533
18500 1.33979
18600 1.29628
18700 1.27531
18800 1.22085
18900 1.32461
19000 1.51781
19100 1.48153
19200 1.26646
19300 1.18959
19400 1.21081
19500 1.29494
19600 1.35677
19700 1.35575
19800 1.36812
19900 1.30184
20000 1.21026
20100 1.18484
20200 1.18873
20300 1.10332
20400 1.01709
20500 1.03212
20600 1.11027
20700 1.22651
20800 1.39306
20900 1.40892
21000 1.31452
21100 1.21711
21200 1.32525
21300 1.42384
21400 1.36963
21500 1.20254
21600 1.07045
21700 1.00483
21800 1.06423
21900 1.24691
22000 1.43335
22100 1.50086
22200 1.44496
22300 1.35788
22400 1.30413
22500 1.26518
