# Time-averaged data for fix dump_rdf_12
# TimeStep Number-of-rows
# Row c_calc_rdf_12[1] c_calc_rdf_12[2] c_calc_rdf_12[3]
100000 500
1 0.00422535 0 0
2 0.0126761 0 0
3 0.0211268 0 0
4 0.0295775 0 0
5 0.0380282 0 0
6 0.0464789 0 0
7 0.0549296 0 0
8 0.0633803 0 0
9 0.071831 0 0
10 0.0802817 0 0
11 0.0887324 0 0
12 0.0971831 0 0
13 0.105634 0 0
14 0.114085 0 0
15 0.122535 0 0
16 0.130986 0 0
17 0.139437 0 0
18 0.147887 0 0
19 0.156338 0 0
20 0.164789 0 0
21 0.173239 0 0
22 0.18169 0 0
23 0.190141 0 0
24 0.198592 0 0
25 0.207042 0 0
26 0.215493 0 0
27 0.223944 0 0
28 0.232394 0 0
29 0.240845 0 0
30 0.249296 0 0
31 0.257746 0 0
32 0.266197 0 0
33 0.274648 0 0
34 0.283099 0 0
35 0.291549 0 0
36 0.3 0 0
37 0.308451 0 0
38 0.316901 0 0
39 0.325352 0 0
40 0.333803 0 0
41 0.342254 0 0
42 0.350704 0 0
43 0.359155 0 0
44 0.367606 0 0
45 0.376056 0 0
46 0.384507 0 0
47 0.392958 0 0
48 0.401408 0 0
49 0.409859 0 0
50 0.41831 0 0
51 0.426761 0 0
52 0.435211 0 0
53 0.443662 0 0
54 0.452113 0 0
55 0.460563 0 0
56 0.469014 0 0
57 0.477465 0 0
58 0.485915 0 0
59 0.494366 0.00229014 6.59091e-05
60 0.502817 0.0415534 0.00130303
61 0.511268 0.28256 0.0100005
62 0.519718 1.09102 0.0447025
63 0.528169 2.81514 0.137179
64 0.53662 5.17598 0.312692
65 0.54507 7.41094 0.571968
66 0.553521 8.91118 0.893473
67 0.561972 9.30318 1.23945
68 0.570423 8.80539 1.57683
69 0.578873 7.79437 1.88439
70 0.587324 6.62134 2.15335
71 0.595775 5.37376 2.37796
72 0.604225 4.3111 2.5633
73 0.612676 3.43498 2.71513
74 0.621127 2.72873 2.8391
75 0.629577 2.16274 2.94004
76 0.638028 1.7515 3.024
77 0.646479 1.41914 3.09385
78 0.65493 1.16282 3.15258
79 0.66338 0.965292 3.2026
80 0.671831 0.810175 3.24566
81 0.680282 0.696326 3.28361
82 0.688732 0.592185 3.31669
83 0.697183 0.518532 3.34637
84 0.705634 0.454994 3.37304
85 0.714085 0.413731 3.39789
86 0.722535 0.369276 3.42059
87 0.730986 0.332566 3.44151
88 0.739437 0.30835 3.46137
89 0.747887 0.287067 3.48027
90 0.756338 0.27418 3.49874
91 0.764789 0.26323 3.51687
92 0.773239 0.257691 3.53501
93 0.78169 0.244485 3.55261
94 0.790141 0.242625 3.57044
95 0.798592 0.236257 3.58819
96 0.807042 0.233541 3.6061
97 0.815493 0.233566 3.62439
98 0.823944 0.232262 3.64296
99 0.832394 0.235527 3.66217
100 0.840845 0.236859 3.68189
101 0.849296 0.242143 3.70246
102 0.857746 0.248577 3.72399
103 0.866197 0.252064 3.74626
104 0.874648 0.252353 3.769
105 0.883099 0.264034 3.79324
106 0.891549 0.270592 3.81857
107 0.9 0.282044 3.84547
108 0.908451 0.286485 3.87331
109 0.916901 0.300582 3.90307
110 0.925352 0.317594 3.93509
111 0.933803 0.326269 3.9686
112 0.942254 0.341099 4.00426
113 0.950704 0.35402 4.04194
114 0.959155 0.366304 4.08162
115 0.967606 0.385972 4.12417
116 0.976056 0.398158 4.16884
117 0.984507 0.415533 4.21626
118 0.992958 0.430856 4.26629
119 1.00141 0.455679 4.3201
120 1.00986 0.476313 4.3773
121 1.01831 0.489744 4.4371
122 1.02676 0.515448 4.50109
123 1.03521 0.532975 4.56834
124 1.04366 0.557187 4.63981
125 1.05211 0.581474 4.7156
126 1.06056 0.599793 4.79505
127 1.06901 0.619421 4.8784
128 1.07746 0.643096 4.96631
129 1.08592 0.664704 5.05861
130 1.09437 0.688917 5.15577
131 1.10282 0.711757 5.2577
132 1.11127 0.737416 5.36494
133 1.11972 0.764435 5.47779
134 1.12817 0.791071 5.59636
135 1.13662 0.813641 5.72013
136 1.14507 0.84099 5.84998
137 1.15352 0.863733 5.98531
138 1.16197 0.881557 6.12547
139 1.17042 0.907882 6.27192
140 1.17887 0.931497 6.42436
141 1.18732 0.951221 6.58227
142 1.19577 0.9692 6.74546
143 1.20423 0.985207 6.91369
144 1.21268 1.01005 7.0886
145 1.22113 1.0304 7.26953
146 1.22958 1.04619 7.45578
147 1.23803 1.06969 7.64884
148 1.24648 1.0876 7.84782
149 1.25493 1.1157 8.05472
150 1.26338 1.13902 8.2688
151 1.27183 1.1546 8.48873
152 1.28028 1.16991 8.71453
153 1.28873 1.19077 8.94741
154 1.29718 1.21889 9.18893
155 1.30563 1.2375 9.43733
156 1.31408 1.25582 9.69269
157 1.32254 1.26982 9.95423
158 1.33099 1.28374 10.222
159 1.33944 1.30722 10.4982
160 1.34789 1.3288 10.7825
161 1.35634 1.34561 11.074
162 1.36479 1.35883 11.372
163 1.37324 1.37012 11.6763
164 1.38169 1.38447 11.9875
165 1.39014 1.39731 12.3055
166 1.39859 1.40386 12.6288
167 1.40704 1.41379 12.9584
168 1.41549 1.41578 13.2924
169 1.42394 1.41656 13.6307
170 1.43239 1.40842 13.9709
171 1.44085 1.3984 14.3128
172 1.4493 1.38185 14.6546
173 1.45775 1.38295 15.0006
174 1.4662 1.36461 15.3461
175 1.47465 1.34383 15.6902
176 1.4831 1.33156 16.0351
177 1.49155 1.30801 16.3777
178 1.5 1.28707 16.7187
179 1.50845 1.26325 17.0572
180 1.5169 1.24761 17.3952
181 1.52535 1.2209 17.7297
182 1.5338 1.20109 18.0625
183 1.54225 1.18111 18.3933
184 1.5507 1.15438 18.7202
185 1.55915 1.13071 19.0438
186 1.56761 1.10552 19.3637
187 1.57606 1.0815 19.6801
188 1.58451 1.06187 19.994
189 1.59296 1.03385 20.3029
190 1.60141 1.01494 20.6094
191 1.60986 0.992926 20.9124
192 1.61831 0.97587 21.2134
193 1.62676 0.95201 21.51
194 1.63521 0.939393 21.8058
195 1.64366 0.919634 22.0984
196 1.65211 0.90391 22.3889
197 1.66056 0.897869 22.6804
198 1.66901 0.88564 22.971
199 1.67746 0.875012 23.2609
200 1.68592 0.864063 23.5501
201 1.69437 0.859616 23.8407
202 1.70282 0.848982 24.1306
203 1.71127 0.84159 24.4208
204 1.71972 0.838152 24.7127
205 1.72817 0.833038 25.0056
206 1.73662 0.827894 25.2996
207 1.74507 0.828999 25.5969
208 1.75352 0.828397 25.8968
209 1.76197 0.82305 26.1977
210 1.77042 0.826668 26.5028
211 1.77887 0.82985 26.8121
212 1.78732 0.833337 27.1255
213 1.79577 0.833887 27.4422
214 1.80423 0.834382 27.762
215 1.81268 0.838096 28.0863
216 1.82113 0.846409 28.4168
217 1.82958 0.846256 28.7504
218 1.83803 0.847691 29.0876
219 1.84648 0.854963 29.4309
220 1.85493 0.858669 29.7788
221 1.86338 0.863162 30.1317
222 1.87183 0.866663 30.4893
223 1.88028 0.873299 30.8528
224 1.88873 0.881708 31.2232
225 1.89718 0.888937 31.6
226 1.90563 0.895188 31.9828
227 1.91408 0.903348 32.3725
228 1.92254 0.908947 32.7681
229 1.93099 0.916786 33.1706
230 1.93944 0.922483 33.5792
231 1.94789 0.932896 33.996
232 1.95634 0.942591 34.4208
233 1.96479 0.947982 34.8518
234 1.97324 0.953834 35.2891
235 1.98169 0.959965 35.733
236 1.99014 0.968753 36.1848
237 1.99859 0.97291 36.6424
238 2.00704 0.981897 37.1082
239 2.01549 0.988841 37.5812
240 2.02394 0.992648 38.06
241 2.03239 0.998324 38.5456
242 2.04085 1.0057 39.0388
243 2.0493 1.0136 39.5401
244 2.05775 1.02044 40.0489
245 2.0662 1.02189 40.5626
246 2.07465 1.03186 41.0856
247 2.0831 1.03597 41.6149
248 2.09155 1.03925 42.1503
249 2.1 1.04284 42.6918
250 2.10845 1.04921 43.2411
251 2.1169 1.05024 43.7953
252 2.12535 1.05272 44.3552
253 2.1338 1.05791 44.9224
254 2.14225 1.06408 45.4974
255 2.1507 1.06559 46.0778
256 2.15915 1.06947 46.6649
257 2.16761 1.07208 47.2581
258 2.17606 1.07968 47.8601
259 2.18451 1.07975 48.4669
260 2.19296 1.07842 49.0776
261 2.20141 1.07903 49.6933
262 2.20986 1.0777 50.313
263 2.21831 1.07929 50.9384
264 2.22676 1.07814 51.568
265 2.23521 1.07876 52.2026
266 2.24366 1.08098 52.8434
267 2.25211 1.08116 53.4891
268 2.26056 1.07431 54.1356
269 2.26901 1.07381 54.7866
270 2.27746 1.07129 55.4409
271 2.28592 1.06893 56.0986
272 2.29437 1.06618 56.7595
273 2.30282 1.05902 57.4208
274 2.31127 1.05693 58.0856
275 2.31972 1.05442 58.7538
276 2.32817 1.05446 59.4268
277 2.33662 1.0486 60.101
278 2.34507 1.04688 60.7789
279 2.35352 1.04081 61.4578
280 2.36197 1.0353 62.1379
281 2.37042 1.03344 62.8217
282 2.37887 1.02926 63.5075
283 2.38732 1.02457 64.1951
284 2.39577 1.01757 64.8829
285 2.40423 1.01374 65.5729
286 2.41268 1.01222 66.2667
287 2.42113 1.00874 66.963
288 2.42958 1.00176 67.6593
289 2.43803 1.00048 68.3596
290 2.44648 0.996825 69.0621
291 2.45493 0.992812 69.7667
292 2.46338 0.99185 70.4754
293 2.47183 0.989013 71.187
294 2.48028 0.98436 71.9001
295 2.48873 0.981412 72.6159
296 2.49718 0.976464 73.3329
297 2.50563 0.971704 74.0512
298 2.51408 0.970865 74.7738
299 2.52254 0.969389 75.5002
300 2.53099 0.962421 76.2262
301 2.53944 0.961175 76.956
302 2.54789 0.95694 77.6876
303 2.55634 0.95877 78.4253
304 2.56479 0.956566 79.1663
305 2.57324 0.960836 79.9155
306 2.58169 0.95596 80.6658
307 2.59014 0.95357 81.4191
308 2.59859 0.956281 82.1795
309 2.60704 0.958451 82.9465
310 2.61549 0.957282 83.7177
311 2.62394 0.958888 84.4951
312 2.63239 0.95811 85.2769
313 2.64085 0.957625 86.0633
314 2.6493 0.959149 86.856
315 2.65775 0.958835 87.6536
316 2.6662 0.958414 88.4558
317 2.67465 0.959817 89.2643
318 2.6831 0.96314 90.0808
319 2.69155 0.962018 90.9015
320 2.7 0.964931 91.7298
321 2.70845 0.964731 92.5631
322 2.7169 0.965408 93.4023
323 2.72535 0.970833 94.2514
324 2.7338 0.971104 95.106
325 2.74225 0.974832 95.9692
326 2.7507 0.976474 96.8392
327 2.75915 0.97772 97.7157
328 2.76761 0.980009 98.5997
329 2.77606 0.98169 99.4905
330 2.78451 0.982802 100.388
331 2.79296 0.987275 101.295
332 2.80141 0.988372 102.208
333 2.80986 0.99155 103.13
334 2.81831 0.993933 104.06
335 2.82676 0.995076 104.996
336 2.83521 0.99604 105.939
337 2.84366 1.00049 106.891
338 2.85211 1.00407 107.853
339 2.86056 1.00291 108.819
340 2.86901 1.00508 109.794
341 2.87746 1.00783 110.776
342 2.88592 1.01046 111.767
343 2.89437 1.01315 112.767
344 2.90282 1.01196 113.771
345 2.91127 1.01469 114.783
346 2.91972 1.01607 115.803
347 2.92817 1.01609 116.829
348 2.93662 1.01759 117.863
349 2.94507 1.01727 118.902
350 2.95352 1.01811 119.947
351 2.96197 1.02053 121.002
352 2.97042 1.02411 122.066
353 2.97887 1.02382 123.136
354 2.98732 1.02271 124.21
355 2.99577 1.02407 125.293
356 3.00423 1.02549 126.382
357 3.01268 1.02238 127.475
358 3.02113 1.02255 128.574
359 3.02958 1.02607 129.683
360 3.03803 1.02561 130.798
361 3.04648 1.02472 131.918
362 3.05493 1.02415 133.043
363 3.06338 1.02564 134.176
364 3.07183 1.02372 135.314
365 3.08028 1.02222 136.456
366 3.08873 1.02069 137.603
367 3.09718 1.02255 138.758
368 3.10563 1.02283 139.919
369 3.11408 1.02427 141.089
370 3.12254 1.02212 142.263
371 3.13099 1.01901 143.439
372 3.13944 1.01663 144.619
373 3.14789 1.01521 145.803
374 3.15634 1.01386 146.993
375 3.16479 1.01565 148.191
376 3.17324 1.01546 149.395
377 3.18169 1.01086 150.6
378 3.19014 1.00955 151.809
379 3.19859 1.00685 153.022
380 3.20704 1.0069 154.242
381 3.21549 1.00949 155.471
382 3.22394 1.00667 156.703
383 3.23239 1.005 157.94
384 3.24085 1.00116 159.178
385 3.2493 1.0008 160.422
386 3.25775 1.00151 161.674
387 3.2662 0.999656 162.929
388 3.27465 0.997354 164.189
389 3.2831 0.996599 165.454
390 3.29155 0.993848 166.722
391 3.3 0.992159 167.994
392 3.30845 0.992628 169.273
393 3.3169 0.992648 170.559
394 3.32535 0.992177 171.851
395 3.3338 0.989978 173.147
396 3.34225 0.990466 174.45
397 3.3507 0.987689 175.755
398 3.35915 0.986996 177.067
399 3.36761 0.988762 178.387
400 3.37606 0.983538 179.707
401 3.38451 0.985458 181.037
402 3.39296 0.984693 182.371
403 3.40141 0.98539 183.714
404 3.40986 0.987508 185.066
