# Time-averaged data for fix dump_temperature
# TimeStep c_calc_temperature
0 0.279982
100 0.275703
200 0.25307
300 0.23628
400 0.231459
500 0.233557
600 0.238348
700 0.24787
800 0.264299
900 0.291992
1000 0.320687
1100 0.344246
1200 0.361648
1300 0.379681
1400 0.392156
1500 0.406796
1600 0.430746
1700 0.442569
1800 0.451558
1900 0.447446
2000 0.44366
2100 0.456062
2200 0.469486
2300 0.476459
2400 0.47813
2500 0.487487
2600 0.494572
2700 0.492817
2800 0.497706
2900 0.507339
3000 0.5088
3100 0.513405
3200 0.514029
3300 0.519608
3400 0.515838
3500 0.528591
3600 0.54536
3700 0.554928
3800 0.556295
3900 0.549947
4000 0.548929
4100 0.551675
4200 0.554703
4300 0.554181
4400 0.554894
4500 0.562619
4600 0.568276
4700 0.57115
4800 0.569116
4900 0.567781
5000 0.562951
5100 0.567028
5200 0.573534
5300 0.573531
5400 0.574272
5500 0.576959
5600 0.578494
5700 0.57847
5800 0.575057
5900 0.577436
6000 0.581527
6100 0.579965
6200 0.578897
6300 0.578277
6400 0.581654
6500 0.589819
6600 0.59413
6700 0.594848
6800 0.592005
6900 0.600667
7000 0.610098
7100 0.6061
7200 0.601924
7300 0.599756
7400 0.592237
7500 0.593023
7600 0.605236
7700 0.610545
7800 0.60824
7900 0.613385
8000 0.614804
8100 0.614205
8200 0.613607
8300 0.618915
8400 0.621437
8500 0.625994
8600 0.634968
8700 0.628071
8800 0.617434
8900 0.62583
9000 0.629667
9100 0.621631
9200 0.627567
9300 0.632523
9400 0.624706
9500 0.624517
9600 0.625993
9700 0.621572
9800 0.615093
9900 0.616654
10000 0.618705
10100 0.620711
10200 0.621544
10300 0.625943
10400 0.626806
10500 0.622966
10600 0.625397
10700 0.630523
10800 0.625617
10900 0.622722
11000 0.632611
11100 0.63767
11200 0.630353
11300 0.622917
11400 0.633086
11500 0.638992
11600 0.636773
11700 0.633843
11800 0.635447
11900 0.638747
12000 0.641385
12100 0.637568
12200 0.636481
12300 0.643674
12400 0.647172
12500 0.644024
12600 0.637462
12700 0.636516
12800 0.641212
12900 0.641733
13000 0.637477
13100 0.639972
13200 0.645857
13300 0.64261
13400 0.638127
13500 0.645749
13600 0.647285
13700 0.64182
13800 0.640339
13900 0.643403
14000 0.640973
14100 0.637382
14200 0.628072
14300 0.620453
14400 0.632988
14500 0.650968
14600 0.658789
14700 0.654637
14800 0.657643
14900 0.660093
15000 0.651063
