ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1200
ITEM: BOX BOUNDS pp pp pp
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
496 0.0648527 -0.190838 -0.0970784
488 -0.57861 -0.066941 -0.0451945
480 0.262002 -0.157103 -0.0565235
472 0.850292 0.0577582 0.238621
672 0.470599 -0.673315 -0.0900214
456 -0.550571 0.8282 -0.740408
712 0.657189 1.21847 0.406712
8 -0.146271 0.380276 0.883662
440 -0.294804 -0.230618 -1.32706
432 0.261007 -0.876972 -0.374732
424 0.378959 0.153419 -0.905479
416 1.09056 -0.154418 0.971897
584 0.870168 0.431142 0.185647
400 0.0799785 -0.331291 -1.58277
48 0.229841 1.02387 0.472167
24 -0.719774 -0.0894298 -0.608503
40 -0.174414 -0.219515 -0.470129
32 0.483136 0.676442 -0.568538
673 0.929957 2.1078 -1.38027
33 0.167787 0.366759 -0.1575
41 0.481089 -0.502349 0.526306
17 -0.377658 -0.407126 -0.429698
49 -0.32049 0.525883 0.152868
401 -0.256283 -0.229179 -0.376682
409 -0.685311 0.800201 -0.955119
417 -0.879436 -0.661919 0.263001
425 0.78656 -0.654219 0.316283
433 0.141011 0.612143 -0.960711
441 1.28989 -0.598376 0.830488
449 -0.0906682 0.80948 -0.424571
457 0.631861 -0.751293 -0.823364
465 -0.820117 0.208855 -0.123983
473 0.377442 -1.52189 -0.862774
489 0.0179762 -0.155401 0.502377
497 0.596817 -0.355825 0.499807
1 0.253871 0.766253 -0.582572
498 -0.695901 0.602895 -0.530297
490 -0.510996 1.34813 -1.01181
34 0.191529 -0.0521365 0.517849
18 0.082819 0.297452 0.819622
42 1.16549 -0.436306 -0.284528
50 0.227182 -0.117216 0.471834
402 -0.761848 0.232422 0.0419374
418 -1.06627 0.117185 0.426238
426 0.133752 0.505419 0.0611464
10 0.149552 -0.0235213 1.30161
442 0.429708 1.30906 0.158108
458 0.590139 0.199086 -1.31565
466 -0.131251 -0.178798 -1.52565
474 0.34628 -0.214879 -0.514408
482 0.141076 -0.917309 -0.516003
499 -0.577446 -0.689415 0.302299
131 -1.01244 -0.59848 -0.176841
491 -0.0234455 0.486917 -0.53544
27 -0.0993097 0.0404231 0.346658
19 -0.821687 -0.404739 0.888856
35 -0.562233 -0.561063 0.220737
43 -0.145435 -0.254495 -0.519052
51 -0.546734 0.208008 0.50558
403 -0.668986 -0.416224 -0.277941
411 0.234224 -0.749919 -0.522642
419 -0.536939 0.961719 0.550711
11 0.731234 -0.898316 0.600774
435 -0.543551 1.07499 -1.03097
