# Time-averaged data for fix dump_rdf_22
# TimeStep Number-of-rows
# Row c_calc_rdf_22[1] c_calc_rdf_22[2] c_calc_rdf_22[3]
100000 500
1 0.00422535 0 0
2 0.0126761 0 0
3 0.0211268 0 0
4 0.0295775 0 0
5 0.0380282 0 0
6 0.0464789 0 0
7 0.0549296 0 0
8 0.0633803 0 0
9 0.071831 0 0
10 0.0802817 0 0
11 0.0887324 0 0
12 0.0971831 0 0
13 0.105634 0 0
14 0.114085 0 0
15 0.122535 0 0
16 0.130986 0 0
17 0.139437 0 0
18 0.147887 0 0
19 0.156338 0 0
20 0.164789 0 0
21 0.173239 0 0
22 0.18169 0 0
23 0.190141 0 0
24 0.198592 0 0
25 0.207042 0 0
26 0.215493 0 0
27 0.223944 0 0
28 0.232394 0 0
29 0.240845 0 0
30 0.249296 0 0
31 0.257746 0 0
32 0.266197 0 0
33 0.274648 0 0
34 0.283099 0 0
35 0.291549 0 0
36 0.3 0 0
37 0.308451 0 0
38 0.316901 0 0
39 0.325352 0 0
40 0.333803 0 0
41 0.342254 0 0
42 0.350704 0 0
43 0.359155 0 0
44 0.367606 0 0
45 0.376056 0 0
46 0.384507 0 0
47 0.392958 0 0
48 0.401408 0 0
49 0.409859 0 0
50 0.41831 0 0
51 0.426761 0 0
52 0.435211 0 0
53 0.443662 0 0
54 0.452113 0 0
55 0.460563 0 0
56 0.469014 0 0
57 0.477465 0 0
58 0.485915 0 0
59 0.494366 0 0
60 0.502817 0 0
61 0.511268 0 0
62 0.519718 0 0
63 0.528169 0 0
64 0.53662 0 0
65 0.54507 0 0
66 0.553521 0 0
67 0.561972 0 0
68 0.570423 0 0
69 0.578873 0 0
70 0.587324 0 0
71 0.595775 0 0
72 0.604225 0 0
73 0.612676 0 0
74 0.621127 0 0
75 0.629577 0 0
76 0.638028 0 0
77 0.646479 0 0
78 0.65493 0 0
79 0.66338 0 0
80 0.671831 0 0
81 0.680282 0 0
82 0.688732 0 0
83 0.697183 0 0
84 0.705634 0 0
85 0.714085 0 0
86 0.722535 0 0
87 0.730986 0 0
88 0.739437 0 0
89 0.747887 0 0
90 0.756338 0 0
91 0.764789 0.144648 0.00995025
92 0.773239 0.106127 0.0174129
93 0.78169 0.415381 0.0472637
94 0.790141 0.338786 0.0721393
95 0.798592 0.265323 0.0920398
96 0.807042 0.974235 0.166667
97 0.815493 0.636099 0.216418
98 0.823944 0.965832 0.293532
99 0.832394 1.58738 0.422886
100 0.840845 1.55563 0.552239
101 0.849296 1.73009 0.699005
102 0.857746 2.0699 0.878109
103 0.866197 1.55047 1.01493
104 0.874648 1.96303 1.19154
105 0.883099 1.95276 1.37065
106 0.891549 1.91592 1.54975
107 0.9 1.54065 1.69652
108 0.908451 2.25536 1.91542
109 0.916901 2.31461 2.14428
110 0.925352 1.97611 2.34328
111 0.933803 2.4984 2.5995
112 0.942254 2.14409 2.82338
113 0.950704 2.22315 3.0597
114 0.959155 2.32209 3.31095
115 0.967606 2.19135 3.55224
116 0.976056 2.02036 3.77861
117 0.984507 1.65849 3.96766
118 0.992958 1.97362 4.19652
119 1.00141 2.00372 4.43284
120 1.00986 1.76292 4.64428
121 1.01831 1.57061 4.83582
122 1.02676 1.84581 5.06468
123 1.03521 1.30263 5.22886
124 1.04366 1.47581 5.41791
125 1.05211 1.35666 5.59453
126 1.06056 1.37273 5.77612
127 1.06901 1.3141 5.95274
128 1.07746 1.49398 6.15672
129 1.08592 1.16589 6.31841
130 1.09437 1.2186 6.49005
131 1.10282 0.991299 6.63184
132 1.11127 0.924897 6.76617
133 1.11972 0.99534 6.91294
134 1.12817 1.19652 7.09204
135 1.13662 0.933214 7.23383
136 1.14507 0.806571 7.35821
137 1.15352 0.953756 7.50746
138 1.16197 0.908602 7.65174
139 1.17042 0.849209 7.78856
140 1.17887 0.913175 7.93781
141 1.18732 0.660163 8.04726
142 1.19577 0.710035 8.16667
143 1.20423 0.787617 8.301
144 1.21268 0.719147 8.42537
145 1.22113 0.78015 8.56219
146 1.22958 0.601581 8.66915
147 1.23803 0.800395 8.81343
148 1.24648 0.694285 8.9403
149 1.25493 0.792411 9.08706
150 1.26338 0.622826 9.20398
151 1.27183 0.732262 9.34328
152 1.28028 0.645203 9.46766
153 1.28873 0.674975 9.5995
154 1.29718 0.691349 9.73632
155 1.30563 0.583166 9.85323
156 1.31408 0.661431 9.98756
157 1.32254 0.725561 10.1368
158 1.33099 0.680558 10.2786
159 1.33944 0.801682 10.4478
160 1.34789 0.698524 10.597
161 1.35634 0.919796 10.796
162 1.36479 0.647264 10.9378
163 1.37324 0.684187 11.0896
164 1.38169 0.709082 11.2488
165 1.39014 0.733322 11.4154
166 1.39859 0.724487 11.5821
167 1.40704 0.651708 11.7338
168 1.41549 0.802298 11.9229
169 1.42394 0.761509 12.1045
170 1.43239 0.793785 12.296
171 1.44085 0.784502 12.4876
172 1.4493 0.896218 12.709
173 1.45775 0.846043 12.9204
174 1.4662 0.806802 13.1244
175 1.47465 0.855941 13.3433
176 1.4831 0.663509 13.5149
177 1.49155 0.789116 13.7214
178 1.5 0.987062 13.9826
179 1.50845 0.808714 14.199
180 1.5169 0.92842 14.4502
181 1.52535 0.936343 14.7065
182 1.5338 0.935044 14.9652
183 1.54225 1.06711 15.2637
184 1.5507 0.853201 15.505
185 1.55915 1.0615 15.8085
186 1.56761 0.860725 16.0572
187 1.57606 0.834489 16.301
188 1.58451 1.12047 16.6318
189 1.59296 1.02526 16.9378
190 1.60141 0.956735 17.2264
191 1.60986 1.09362 17.5597
192 1.61831 1.058 17.8856
193 1.62676 1.15893 18.2463
194 1.63521 1.09952 18.592
195 1.64366 1.22134 18.9801
196 1.65211 1.19338 19.3632
197 1.66056 1.27331 19.7761
198 1.66901 1.101 20.1368
199 1.67746 1.01476 20.4726
200 1.68592 0.952525 20.791
201 1.69437 1.17881 21.1891
202 1.70282 1.2182 21.6045
203 1.71127 1.15564 22.0025
204 1.71972 1.18722 22.4154
205 1.72817 1.18272 22.8308
206 1.73662 1.11513 23.2264
207 1.74507 1.00017 23.5846
208 1.75352 1.38265 24.0846
209 1.76197 1.11052 24.49
210 1.77042 1.14718 24.9129
211 1.77887 1.16973 25.3483
212 1.78732 1.08586 25.7562
213 1.79577 1.12158 26.1816
214 1.80423 1.18257 26.6343
215 1.81268 1.0557 27.0423
216 1.82113 1.18623 27.505
217 1.82958 1.08684 27.9328
218 1.83803 1.21461 28.4154
219 1.84648 1.27796 28.9279
220 1.85493 1.25405 29.4353
221 1.86338 1.21224 29.9303
222 1.87183 1.0504 30.3632
223 1.88028 1.08884 30.8159
224 1.88873 1.16213 31.3035
225 1.89718 1.1518 31.791
226 1.90563 1.11248 32.2662
227 1.91408 1.05649 32.7214
228 1.92254 0.990001 33.1517
229 1.93099 1.13451 33.6493
230 1.93944 0.939082 34.0647
231 1.94789 1.04802 34.5323
232 1.95634 1.04451 35.0025
233 1.96479 1.00267 35.4577
234 1.97324 1.22225 36.0174
235 1.98169 1.03411 36.495
236 1.99014 1.07341 36.995
237 1.99859 0.947858 37.4403
238 2.00704 1.04491 37.9353
239 2.01549 0.958062 38.393
240 2.02394 1.05851 38.903
241 2.03239 1.02412 39.4005
242 2.04085 1.07152 39.9254
243 2.0493 0.911607 40.3756
244 2.05775 0.969072 40.8582
245 2.0662 0.906663 41.3134
246 2.07465 0.953347 41.796
247 2.0831 0.916382 42.2637
248 2.09155 0.79295 42.6716
249 2.1 0.80097 43.0871
250 2.10845 0.951571 43.5846
251 2.1169 0.87319 44.0448
252 2.12535 0.814753 44.4776
253 2.1338 0.905867 44.9627
254 2.14225 0.954041 45.4776
255 2.1507 1.006 46.0249
256 2.15915 0.812127 46.4701
257 2.16761 0.846322 46.9378
258 2.17606 0.705757 47.3308
259 2.18451 1.03716 47.9129
260 2.19296 0.998398 48.4776
261 2.20141 0.872905 48.9751
262 2.20986 0.827261 49.4502
263 2.21831 0.906935 49.9751
264 2.22676 0.891533 50.495
265 2.23521 0.969475 51.0647
266 2.24366 0.903362 51.5995
267 2.25211 0.98834 52.1891
268 2.26056 0.831957 52.6891
269 2.26901 0.821663 53.1866
270 2.27746 0.909368 53.7413
271 2.28592 0.991709 54.3507
272 2.29437 1.05272 55.0025
273 2.30282 0.757832 55.4751
274 2.31127 0.875045 56.0249
275 2.31972 0.98267 56.6468
276 2.32817 0.94043 57.2463
277 2.33662 1.06536 57.9303
278 2.34507 0.953846 58.5473
279 2.35352 1.09211 59.2587
280 2.36197 1.08431 59.9701
281 2.37042 1.00507 60.6343
282 2.37887 0.968045 61.2786
283 2.38732 1.05027 61.9826
284 2.39577 0.969175 62.6368
285 2.40423 1.0502 63.3507
286 2.41268 0.893872 63.9627
287 2.42113 1.00311 64.6542
288 2.42958 0.974644 65.3308
289 2.43803 1.00348 66.0323
290 2.44648 0.947088 66.699
291 2.45493 1.05289 67.4453
292 2.46338 0.968992 68.1368
293 2.47183 1.07316 68.908
294 2.48028 1.05554 69.6716
295 2.48873 1.07912 70.4577
296 2.49718 0.987031 71.1816
297 2.50563 1.0545 71.9602
298 2.51408 1.08424 72.7662
299 2.52254 1.0936 73.5846
300 2.53099 1.08961 74.4055
301 2.53944 1.09221 75.2338
302 2.54789 0.912297 75.9303
303 2.55634 1.06164 76.7463
304 2.56479 1.1061 77.602
305 2.57324 1.03496 78.408
306 2.58169 0.999634 79.1915
307 2.59014 1.01834 79.995
308 2.59859 1.07751 80.8507
309 2.60704 1.01452 81.6617
310 2.61549 1.076 82.5274
311 2.62394 1.13666 83.4478
312 2.63239 1.05001 84.3035
313 2.64085 1.04634 85.1617
314 2.6493 0.99447 85.9826
315 2.65775 0.985161 86.801
316 2.6662 1.07414 87.699
317 2.67465 1.04371 88.5771
318 2.6831 1.06947 89.4826
319 2.69155 1.03356 90.3632
320 2.7 1.07643 91.2861
321 2.70845 1.04954 92.1915
322 2.7169 1.08027 93.1294
323 2.72535 1.07358 94.0672
324 2.7338 0.97356 94.9229
325 2.74225 1.04632 95.8483
326 2.7507 1.0427 96.7761
327 2.75915 1.15301 97.8085
328 2.76761 0.994106 98.704
329 2.77606 1.06766 99.6716
330 2.78451 1.03118 100.612
331 2.79296 1.00868 101.537
332 2.80141 0.935223 102.4
333 2.80986 0.980507 103.311
334 2.81831 0.98795 104.234
335 2.82676 1.03499 105.206
336 2.83521 1.04988 106.199
337 2.84366 1.0018 107.152
338 2.85211 0.933468 108.045
339 2.86056 0.938301 108.948
340 2.86901 0.94563 109.863
341 2.87746 1.01928 110.856
342 2.88592 0.929507 111.766
343 2.89437 1.00993 112.761
344 2.90282 0.893613 113.647
345 2.91127 0.995743 114.639
346 2.91972 1.07683 115.719
347 2.92817 0.937411 116.664
348 2.93662 1.03749 117.716
349 2.94507 0.899857 118.634
350 2.95352 0.870468 119.527
351 2.96197 0.981231 120.54
352 2.97042 0.910932 121.485
353 2.97887 0.953443 122.48
354 2.98732 0.971757 123.5
355 2.99577 0.994564 124.55
356 3.00423 0.921014 125.527
357 3.01268 0.934497 126.525
358 3.02113 0.943181 127.537
359 3.02958 0.984016 128.6
360 3.03803 0.97855 129.662
361 3.04648 0.941223 130.689
362 3.05493 0.972285 131.756
363 3.06338 0.987213 132.846
364 3.07183 0.990755 133.945
365 3.08028 1.00985 135.072
366 3.08873 0.997678 136.192
367 3.09718 0.961372 137.276
368 3.10563 0.918866 138.318
369 3.11408 1.02294 139.485
370 3.12254 0.989211 140.619
371 3.13099 1.05292 141.833
372 3.13944 1.02795 143.025
373 3.14789 0.988283 144.177
374 3.15634 1.05518 145.413
375 3.16479 1.03055 146.627
376 3.17324 0.99356 147.803
377 3.18169 0.94859 148.933
378 3.19014 0.943571 150.062
379 3.19859 0.953064 151.209
380 3.20704 0.937765 152.343
381 3.21549 1.03922 153.607
382 3.22394 1.02767 154.863
383 3.23239 1.01421 156.109
384 3.24085 1.02705 157.378
385 3.2493 1.0117 158.634
386 3.25775 1.00048 159.883
387 3.2662 1.00324 161.142
388 3.27465 1.07302 162.495
389 3.2831 1.11852 163.913
390 3.29155 1.02884 165.224
391 3.3 0.992503 166.495
392 3.30845 0.995168 167.776
393 3.3169 0.980491 169.045
394 3.32535 1.03098 170.386
395 3.3338 1.03338 171.736
396 3.34225 1.01112 173.065
397 3.3507 0.994719 174.378
398 3.35915 0.912867 175.59
399 3.36761 1.09293 177.047
400 3.37606 1.00953 178.4
401 3.38451 1.00449 179.754
402 3.39296 1.01052 181.122
403 3.40141 1.00185 182.485
404 3.40986 0.935037 183.764
405 3.41831 1.03541 185.187
406 3.42676 1.0159 186.59
407 3.43521 1.03421 188.025
408 3.44366 1.04341 189.48
409 3.45211 0.986833 190.863
410 3.46056 1.04384 192.333
411 3.46901 1.06161 193.836
412 3.47746 1.08444 195.378
413 3.48592 1.03393 196.856
414 3.49437 0.996024 198.286
415 3.50282 1.00501 199.736
416 3.51127 1.04822 201.256
417 3.51972 0.974898 202.677
