# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
0 204.605 -3038.3
100 200.653 -3024.24
200 214.669 -3039.7
300 219.432 -3036.85
400 205.753 -3026.23
500 201.978 -3009.29
600 214.523 -3001.87
700 206.736 -3013.15
800 206.753 -3020.14
900 205.483 -3016.36
1000 205.55 -3026.12
1100 222.906 -3045.18
1200 210.337 -3039.98
1300 203.567 -3038.27
1400 215.194 -3023.88
1500 220.423 -3028.1
1600 211.77 -3017.5
1700 193.035 -3030.44
1800 202.989 -3037.63
1900 201.601 -3040.02
2000 222.083 -3036.14
2100 216.654 -3021.83
2200 206.227 -3026.13
2300 208.864 -3044.44
2400 204.584 -3027.72
2500 198.943 -3012.86
2600 217.236 -3007.86
2700 212.427 -3020.06
2800 212.116 -3033.31
2900 213.051 -3034.7
3000 210.125 -3026.64
3100 205.637 -3024.5
3200 214.148 -3024.32
3300 221.546 -3025.24
3400 199.366 -3031.86
3500 204.421 -3024.14
3600 199.077 -3016.52
3700 215.702 -3027.43
3800 212.922 -3031.41
3900 201.972 -3036.14
4000 215.528 -3030.28
4100 203.052 -3045.24
4200 204.51 -3035.96
4300 208.435 -3025.61
4400 207.922 -3030.37
4500 218.552 -3042.78
4600 208.882 -3036.89
4700 206.835 -3035.8
4800 205.452 -3024.96
4900 209.574 -3039.07
5000 202.237 -3035.24
5100 200.198 -3026.68
5200 230.992 -3032.22
5300 212.912 -3027.51
5400 207.134 -3036.14
5500 214.221 -3019.31
5600 204.381 -3013.94
5700 216.71 -3032.64
5800 205.439 -3030.35
5900 209.487 -3037.83
6000 213.116 -3027.75
6100 209.346 -3023.55
6200 197.159 -3014.03
6300 206.28 -3026.28
6400 212.33 -3035.23
6500 198.589 -3041.35
6600 206.937 -3030.26
6700 197.706 -3035.72
6800 209.35 -3034.22
6900 208.435 -3028.19
7000 218.677 -3007.53
7100 216.849 -3018.37
7200 214.263 -3028.92
7300 210.352 -3040.27
7400 202.361 -3038.44
7500 204.348 -3039.41
7600 217.183 -3036.36
7700 206.991 -3036.68
7800 204.779 -3035.21
7900 211.992 -3034.73
8000 212.258 -3033.07
8100 219.074 -3043.32
8200 214.374 -3032.05
8300 213.615 -3033.46
8400 199.362 -3043.62
8500 217.005 -3036.16
8600 212.1 -3029.69
8700 203.931 -3017.25
8800 200.938 -3034.65
8900 211.599 -3046.95
9000 218.217 -3039.36
9100 209.805 -3028.14
9200 219.203 -3035.89
9300 203.214 -3026.61
9400 206 -3024.87
9500 232.045 -3020.84
9600 226.884 -3027.93
9700 194.898 -3037.93
9800 194.036 -3045
9900 218.625 -3041.41
10000 214.773 -3034.92
10100 211.903 -3025.02
10200 207.247 -3020.91
10300 203.29 -3034.87
10400 218.874 -3027.57
10500 204.658 -3014.9
10600 203.568 -3007.25
10700 208.639 -3022.4
10800 206.218 -3026.1
10900 198.262 -3029.37
11000 205.667 -3029.2
11100 215.572 -3019.54
11200 219.159 -3021.3
11300 212.304 -3031.53
11400 196.443 -3034.01
11500 207.576 -3029
11600 206.846 -3023.92
11700 215.831 -3029.73
11800 211.581 -3029.82
11900 223.186 -3043.47
12000 217.416 -3041.57
12100 209.874 -3038.88
12200 201.297 -3028.46
12300 211.315 -3017.84
12400 225.117 -3016.51
12500 216.36 -3021.42
12600 210.958 -3031.6
12700 205.436 -3034.9
12800 217.39 -3027.15
12900 225.767 -3022.89
13000 203.225 -3027.12
13100 200.738 -3024.33
13200 215.02 -3018.27
13300 215.539 -3003.45
13400 199.91 -3013.52
13500 207.873 -3027.67
13600 201.949 -3027.93
13700 232.435 -3042.86
13800 198.554 -3038.27
13900 208.397 -3039.87
14000 223.63 -3031.25
14100 209.012 -3026.39
14200 208.008 -3027.55
14300 200.328 -3035.97
14400 205.293 -3028.53
14500 204.462 -3027.92
14600 206.204 -3029.4
14700 222.224 -3027.3
14800 214.537 -3031.31
14900 217.15 -3032.03
15000 211.047 -3027.05
15100 205.174 -3027.9
15200 213.203 -3029.82
15300 219.914 -3035.15
15400 215.823 -3021.12
15500 208.698 -3021.21
15600 194.18 -3027.31
15700 204.003 -3033.41
15800 210.355 -3021.62
15900 219.587 -3032.2
16000 200.826 -3034.07
16100 202.199 -3022.63
16200 216.939 -3025.99
16300 212.305 -3030.87
16400 206.986 -3037.76
16500 203.664 -3031.21
16600 200.321 -3027.91
16700 220.473 -3021.03
16800 212.048 -3014.42
16900 198.703 -3023.03
17000 228.785 -3022.97
17100 206.034 -3035.14
17200 205.717 -3046.84
17300 197.089 -3035.57
17400 214.744 -3031.23
17500 208.78 -3026.48
17600 213.354 -3027.28
17700 209.855 -3019.03
17800 201.628 -3032.1
17900 206.855 -3040.63
18000 225.427 -3041.21
18100 212.806 -3039.05
18200 212.098 -3039.02
18300 206.112 -3022.38
18400 207.414 -3023.65
18500 201.173 -3020.66
18600 210.628 -3038.47
18700 200.35 -3038.43
18800 213.448 -3020.44
18900 215.614 -3030.31
19000 213.901 -3034.3
19100 204.407 -3026.79
19200 204.369 -3031.13
19300 215.513 -3030.03
19400 213.695 -3030.32
19500 216.314 -3010.32
19600 213.241 -3020.39
19700 208.675 -3026.39
19800 215.6 -3041.06
19900 217.702 -3043.3
20000 209.665 -3028.34
20100 222.91 -3025.29
20200 215.269 -3036.26
20300 217.014 -3038.87
20400 229.677 -3040.88
20500 211.906 -3023.23
20600 207.767 -3004.58
20700 206.685 -3024.15
20800 199.12 -3023.16
20900 209.02 -3025.16
21000 212.96 -3025.49
