# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
0 -1.49032e-05 -3.47702e-06 -2.60196e-06
100 -1.52195e-05 -3.55081e-06 -2.65718e-06
200 -1.51648e-05 -3.53805e-06 -2.64763e-06
300 -1.54502e-05 -3.60465e-06 -2.69747e-06
400 -1.53497e-05 -3.5812e-06 -2.67992e-06
500 -1.58348e-05 -3.69437e-06 -2.76461e-06
600 -1.66284e-05 -3.87952e-06 -2.90316e-06
700 -1.58972e-05 -3.70892e-06 -2.7755e-06
800 -1.56276e-05 -3.64604e-06 -2.72844e-06
900 -1.57184e-05 -3.66721e-06 -2.74428e-06
1000 -1.53389e-05 -3.57866e-06 -2.67802e-06
1100 -1.52678e-05 -3.56209e-06 -2.66562e-06
1200 -1.50237e-05 -3.50512e-06 -2.62299e-06
1300 -1.48364e-05 -3.46144e-06 -2.5903e-06
1400 -1.57927e-05 -3.68454e-06 -2.75725e-06
1500 -1.58199e-05 -3.6909e-06 -2.76201e-06
1600 -1.58899e-05 -3.70722e-06 -2.77423e-06
1700 -1.47097e-05 -3.43187e-06 -2.56817e-06
1800 -1.48302e-05 -3.45999e-06 -2.58922e-06
1900 -1.46853e-05 -3.42619e-06 -2.56393e-06
2000 -1.55605e-05 -3.63036e-06 -2.71671e-06
2100 -1.587e-05 -3.70258e-06 -2.77075e-06
2200 -1.53353e-05 -3.57783e-06 -2.6774e-06
2300 -1.47875e-05 -3.45003e-06 -2.58177e-06
2400 -1.52188e-05 -3.55066e-06 -2.65706e-06
2500 -1.55369e-05 -3.62486e-06 -2.71259e-06
2600 -1.64409e-05 -3.83578e-06 -2.87043e-06
2700 -1.57967e-05 -3.68548e-06 -2.75796e-06
2800 -1.52785e-05 -3.56458e-06 -2.66749e-06
2900 -1.52759e-05 -3.56396e-06 -2.66702e-06
3000 -1.5486e-05 -3.61298e-06 -2.7037e-06
3100 -1.54109e-05 -3.59546e-06 -2.69059e-06
3200 -1.57543e-05 -3.67558e-06 -2.75055e-06
3300 -1.59931e-05 -3.7313e-06 -2.79225e-06
3400 -1.49369e-05 -3.48489e-06 -2.60785e-06
3500 -1.54317e-05 -3.60031e-06 -2.69422e-06
3600 -1.55096e-05 -3.61849e-06 -2.70783e-06
3700 -1.57348e-05 -3.67104e-06 -2.74715e-06
3800 -1.54987e-05 -3.61596e-06 -2.70593e-06
3900 -1.49273e-05 -3.48264e-06 -2.60617e-06
4000 -1.56405e-05 -3.64903e-06 -2.73068e-06
4100 -1.46596e-05 -3.42019e-06 -2.55944e-06
4200 -1.50227e-05 -3.5049e-06 -2.62282e-06
4300 -1.55437e-05 -3.62645e-06 -2.71378e-06
4400 -1.53435e-05 -3.57975e-06 -2.67884e-06
4500 -1.52822e-05 -3.56545e-06 -2.66814e-06
4600 -1.51555e-05 -3.53589e-06 -2.64602e-06
4700 -1.51264e-05 -3.52909e-06 -2.64093e-06
4800 -1.55474e-05 -3.62732e-06 -2.71444e-06
4900 -1.51811e-05 -3.54186e-06 -2.65048e-06
5000 -1.50686e-05 -3.51561e-06 -2.63083e-06
5100 -1.52972e-05 -3.56895e-06 -2.67075e-06
5200 -1.6217e-05 -3.78354e-06 -2.83134e-06
5300 -1.57348e-05 -3.67103e-06 -2.74715e-06
5400 -1.52189e-05 -3.55067e-06 -2.65707e-06
5500 -1.61146e-05 -3.75965e-06 -2.81346e-06
5600 -1.59317e-05 -3.71698e-06 -2.78153e-06
5700 -1.56757e-05 -3.65725e-06 -2.73683e-06
5800 -1.5342e-05 -3.57939e-06 -2.67857e-06
5900 -1.52374e-05 -3.55499e-06 -2.66031e-06
6000 -1.57403e-05 -3.67231e-06 -2.7481e-06
6100 -1.57675e-05 -3.67867e-06 -2.75286e-06
6200 -1.56522e-05 -3.65177e-06 -2.73273e-06
6300 -1.55591e-05 -3.63005e-06 -2.71647e-06
6400 -1.5438e-05 -3.60178e-06 -2.69532e-06
6500 -1.47068e-05 -3.43119e-06 -2.56767e-06
6600 -1.54135e-05 -3.59608e-06 -2.69105e-06
6700 -1.48638e-05 -3.46784e-06 -2.59509e-06
6800 -1.53549e-05 -3.58241e-06 -2.68083e-06
6900 -1.55459e-05 -3.62697e-06 -2.71417e-06
7000 -1.6714e-05 -3.8995e-06 -2.91811e-06
7100 -1.62002e-05 -3.77962e-06 -2.8284e-06
7200 -1.5711e-05 -3.66549e-06 -2.743e-06
7300 -1.51608e-05 -3.53713e-06 -2.64694e-06
7400 -1.49553e-05 -3.48917e-06 -2.61105e-06
7500 -1.49865e-05 -3.49646e-06 -2.6165e-06
7600 -1.55632e-05 -3.63101e-06 -2.7172e-06
7700 -1.51812e-05 -3.54187e-06 -2.65049e-06
7800 -1.5156e-05 -3.53599e-06 -2.64609e-06
7900 -1.54321e-05 -3.60043e-06 -2.69431e-06
8000 -1.55137e-05 -3.61946e-06 -2.70855e-06
8100 -1.53548e-05 -3.58238e-06 -2.68081e-06
8200 -1.56087e-05 -3.64162e-06 -2.72514e-06
8300 -1.55348e-05 -3.62437e-06 -2.71223e-06
8400 -1.46315e-05 -3.41362e-06 -2.55452e-06
8500 -1.55485e-05 -3.62758e-06 -2.71463e-06
8600 -1.56177e-05 -3.64371e-06 -2.7267e-06
8700 -1.57708e-05 -3.67943e-06 -2.75343e-06
8800 -1.49939e-05 -3.49818e-06 -2.6178e-06
8900 -1.49451e-05 -3.4868e-06 -2.60928e-06
9000 -1.54452e-05 -3.60348e-06 -2.69659e-06
9100 -1.55628e-05 -3.63091e-06 -2.71712e-06
9200 -1.56022e-05 -3.64011e-06 -2.724e-06
9300 -1.53502e-05 -3.5813e-06 -2.67999e-06
9400 -1.54983e-05 -3.61587e-06 -2.70586e-06
9500 -1.66178e-05 -3.87705e-06 -2.90132e-06
9600 -1.61633e-05 -3.77101e-06 -2.82196e-06
9700 -1.46293e-05 -3.41312e-06 -2.55414e-06
9800 -1.43413e-05 -3.34593e-06 -2.50386e-06
9900 -1.5347e-05 -3.58055e-06 -2.67944e-06
10000 -1.54458e-05 -3.60362e-06 -2.6967e-06
10100 -1.57224e-05 -3.66814e-06 -2.74498e-06
10200 -1.57016e-05 -3.6633e-06 -2.74136e-06
10300 -1.50053e-05 -3.50084e-06 -2.61979e-06
10400 -1.58329e-05 -3.69393e-06 -2.76428e-06
10500 -1.57714e-05 -3.67957e-06 -2.75354e-06
10600 -1.60392e-05 -3.74205e-06 -2.80029e-06
10700 -1.56641e-05 -3.65455e-06 -2.73481e-06
10800 -1.54625e-05 -3.6075e-06 -2.6996e-06
10900 -1.50418e-05 -3.50937e-06 -2.62617e-06
11000 -1.53347e-05 -3.57769e-06 -2.67729e-06
11100 -1.60747e-05 -3.75033e-06 -2.80649e-06
11200 -1.61522e-05 -3.76842e-06 -2.82002e-06
11300 -1.55207e-05 -3.62108e-06 -2.70977e-06
11400 -1.4836e-05 -3.46135e-06 -2.59023e-06
11500 -1.54413e-05 -3.60257e-06 -2.69591e-06
11600 -1.56145e-05 -3.64298e-06 -2.72615e-06
11700 -1.5726e-05 -3.66898e-06 -2.74561e-06
11800 -1.55453e-05 -3.62682e-06 -2.71406e-06
11900 -1.54505e-05 -3.60471e-06 -2.69752e-06
12000 -1.53355e-05 -3.57787e-06 -2.67743e-06
12100 -1.51678e-05 -3.53876e-06 -2.64816e-06
12200 -1.52278e-05 -3.55275e-06 -2.65863e-06
12300 -1.59984e-05 -3.73254e-06 -2.79318e-06
12400 -1.65663e-05 -3.86503e-06 -2.89232e-06
12500 -1.60468e-05 -3.74382e-06 -2.80162e-06
12600 -1.54627e-05 -3.60755e-06 -2.69964e-06
12700 -1.51403e-05 -3.53233e-06 -2.64335e-06
12800 -1.58622e-05 -3.70075e-06 -2.76939e-06
12900 -1.63245e-05 -3.80862e-06 -2.85011e-06
13000 -1.53203e-05 -3.57433e-06 -2.67478e-06
13100 -1.53222e-05 -3.57478e-06 -2.67512e-06
13200 -1.60827e-05 -3.75222e-06 -2.8079e-06
13300 -1.66715e-05 -3.88958e-06 -2.91069e-06
13400 -1.56797e-05 -3.65819e-06 -2.73754e-06
13500 -1.54712e-05 -3.60953e-06 -2.70112e-06
13600 -1.52361e-05 -3.55469e-06 -2.66008e-06
13700 -1.57837e-05 -3.68245e-06 -2.75569e-06
13800 -1.47501e-05 -3.44131e-06 -2.57524e-06
13900 -1.50534e-05 -3.51206e-06 -2.62818e-06
14000 -1.59099e-05 -3.71188e-06 -2.77771e-06
14100 -1.55689e-05 -3.63232e-06 -2.71818e-06
14200 -1.54733e-05 -3.61003e-06 -2.7015e-06
14300 -1.48843e-05 -3.47262e-06 -2.59867e-06
14400 -1.53454e-05 -3.58019e-06 -2.67916e-06
14500 -1.53225e-05 -3.57484e-06 -2.67516e-06
14600 -1.53358e-05 -3.57794e-06 -2.67749e-06
14700 -1.59842e-05 -3.72921e-06 -2.79068e-06
14800 -1.5555e-05 -3.6291e-06 -2.71577e-06
14900 -1.56243e-05 -3.64525e-06 -2.72786e-06
15000 -1.5552e-05 -3.62838e-06 -2.71523e-06
15100 -1.52987e-05 -3.5693e-06 -2.67102e-06
15200 -1.54957e-05 -3.61525e-06 -2.7054e-06
15300 -1.55754e-05 -3.63384e-06 -2.71932e-06
15400 -1.59681e-05 -3.72547e-06 -2.78788e-06
15500 -1.56998e-05 -3.66287e-06 -2.74104e-06
15600 -1.49061e-05 -3.4777e-06 -2.60247e-06
15700 -1.50499e-05 -3.51125e-06 -2.62758e-06
15800 -1.57099e-05 -3.66523e-06 -2.7428e-06
15900 -1.56492e-05 -3.65107e-06 -2.73221e-06
16000 -1.48859e-05 -3.47298e-06 -2.59894e-06
16100 -1.53783e-05 -3.58787e-06 -2.68491e-06
16200 -1.58055e-05 -3.68752e-06 -2.75949e-06
16300 -1.54445e-05 -3.6033e-06 -2.69646e-06
16400 -1.50046e-05 -3.50067e-06 -2.61966e-06
16500 -1.50984e-05 -3.52257e-06 -2.63604e-06
16600 -1.50908e-05 -3.52078e-06 -2.63471e-06
16700 -1.60978e-05 -3.75574e-06 -2.81053e-06
16800 -1.60328e-05 -3.74056e-06 -2.79917e-06
16900 -1.51989e-05 -3.54601e-06 -2.65359e-06
17000 -1.63141e-05 -3.8062e-06 -2.8483e-06
17100 -1.50387e-05 -3.50864e-06 -2.62562e-06
17200 -1.46267e-05 -3.41252e-06 -2.55369e-06
17300 -1.47e-05 -3.42962e-06 -2.56649e-06
17400 -1.55086e-05 -3.61826e-06 -2.70765e-06
17500 -1.54619e-05 -3.60736e-06 -2.6995e-06
17600 -1.55876e-05 -3.6367e-06 -2.72145e-06
17700 -1.57674e-05 -3.67865e-06 -2.75285e-06
17800 -1.49742e-05 -3.49358e-06 -2.61435e-06
17900 -1.48489e-05 -3.46435e-06 -2.59248e-06
18000 -1.54798e-05 -3.61155e-06 -2.70263e-06
18100 -1.51228e-05 -3.52825e-06 -2.6403e-06
18200 -1.50995e-05 -3.52282e-06 -2.63624e-06
18300 -1.54906e-05 -3.61407e-06 -2.70452e-06
18400 -1.5481e-05 -3.61181e-06 -2.70283e-06
18500 -1.53497e-05 -3.58118e-06 -2.67991e-06
18600 -1.50714e-05 -3.51626e-06 -2.63132e-06
18700 -1.47012e-05 -3.42989e-06 -2.56669e-06
18800 -1.58511e-05 -3.69818e-06 -2.76746e-06
18900 -1.55474e-05 -3.62731e-06 -2.71443e-06
19000 -1.53285e-05 -3.57624e-06 -2.67621e-06
19100 -1.52737e-05 -3.56347e-06 -2.66665e-06
19200 -1.51184e-05 -3.52723e-06 -2.63953e-06
19300 -1.55856e-05 -3.63623e-06 -2.7211e-06
19400 -1.55184e-05 -3.62054e-06 -2.70936e-06
19500 -1.64144e-05 -3.82959e-06 -2.8658e-06
19600 -1.59168e-05 -3.71351e-06 -2.77893e-06
19700 -1.55117e-05 -3.619e-06 -2.70821e-06
19800 -1.52166e-05 -3.55014e-06 -2.65668e-06
19900 -1.52074e-05 -3.54798e-06 -2.65506e-06
20000 -1.54716e-05 -3.60964e-06 -2.7012e-06
20100 -1.60754e-05 -3.7505e-06 -2.80661e-06
20200 -1.53933e-05 -3.59136e-06 -2.68753e-06
20300 -1.53267e-05 -3.57583e-06 -2.6759e-06
20400 -1.56817e-05 -3.65865e-06 -2.73788e-06
20500 -1.57218e-05 -3.66801e-06 -2.74489e-06
20600 -1.62737e-05 -3.79676e-06 -2.84123e-06
20700 -1.54848e-05 -3.61272e-06 -2.70351e-06
20800 -1.52233e-05 -3.5517e-06 -2.65784e-06
20900 -1.5495e-05 -3.61509e-06 -2.70528e-06
21000 -1.56367e-05 -3.64815e-06 -2.73002e-06
