# Time-averaged data for fix dump_pressure
# TimeStep c_calc_pressure
0 0.124584
100 0.600409
200 0.479244
300 0.713623
400 0.597126
500 0.512435
600 -0.00674436
700 0.00745906
800 0.477896
900 0.56818
1000 0.236096
1100 -0.351728
1200 -0.115662
1300 0.0665408
1400 0.768778
1500 0.635509
1600 0.1018
1700 -0.25958
1800 0.193148
1900 0.450882
2000 0.752839
2100 0.61893
2200 0.371915
2300 0.226008
2400 0.212452
2500 0.198178
2600 0.363387
2700 0.24528
2800 0.304704
2900 -0.0593562
3000 0.429396
3100 0.706772
3200 0.289852
3300 0.302082
3400 0.072429
3500 0.425768
3600 0.571435
3700 0.170353
3800 0.346549
3900 0.162047
4000 0.537455
4100 0.258949
4200 0.222173
4300 0.397377
4400 0.504723
4500 0.354401
4600 0.368832
4700 0.464093
4800 0.639166
4900 -0.0255574
5000 0.118756
5100 0.498091
5200 0.452801
5300 0.130055
5400 -0.393584
5500 0.117531
5600 0.243592
5700 -0.043936
5800 0.376392
5900 0.485087
6000 0.428474
6100 -0.0327892
6200 0.00128735
6300 0.37527
6400 0.819052
6500 0.381626
6600 0.185322
6700 0.193086
6800 0.681911
6900 0.434859
7000 0.46956
7100 0.430511
7200 0.516274
7300 0.508714
7400 0.762195
7500 0.639905
7600 0.658547
7700 0.549393
7800 0.469117
7900 0.35911
8000 0.283964
8100 0.0600742
8200 0.296677
8300 0.362281
8400 0.438452
8500 0.320774
8600 -0.102756
8700 0.0615984
8800 0.25306
8900 0.202148
9000 0.0638875
9100 0.208736
9200 0.245965
9300 0.294585
9400 0.0173695
9500 0.32541
9600 0.242613
9700 0.33576
9800 0.389755
9900 0.705852
10000 0.658302
10100 0.505029
10200 0.379446
10300 0.296368
10400 0.355636
10500 0.250158
10600 0.236584
10700 -0.0438332
10800 0.169445
10900 0.360097
11000 0.503442
11100 0.488229
11200 0.0836683
11300 0.0578952
11400 0.693281
11500 0.772313
11600 0.376918
11700 0.131571
11800 0.630324
11900 0.390192
12000 0.558207
12100 0.616578
12200 0.411352
12300 0.196089
12400 0.437278
12500 0.429908
12600 0.323682
12700 0.277434
12800 0.252497
12900 0.572415
13000 0.651196
13100 0.402252
13200 -0.0397028
13300 0.0372183
13400 0.210668
13500 0.0150527
13600 0.560521
13700 0.617526
13800 0.576976
13900 0.367129
14000 0.260898
14100 0.420217
14200 0.86705
14300 0.62109
14400 0.355642
14500 0.0701131
14600 0.21315
14700 0.368017
14800 0.134191
14900 0.020741
15000 0.384918
15100 1.05595
15200 1.18862
15300 0.435023
15400 0.184998
15500 0.278804
15600 0.606894
15700 0.510847
15800 0.595599
15900 0.211076
16000 -0.138425
16100 0.317657
16200 0.540706
16300 0.33417
16400 -0.0525413
16500 0.351039
16600 0.278809
16700 0.165551
16800 0.139553
16900 0.256204
17000 0.661226
17100 0.656298
17200 0.588846
17300 0.706345
17400 0.333882
17500 0.0609205
17600 -0.00455228
17700 0.659283
17800 0.447473
17900 0.0794087
18000 -0.0119793
18100 0.178792
18200 0.248677
18300 0.595162
18400 0.014811
18500 0.145994
18600 0.278793
18700 0.47727
18800 0.808292
18900 0.234351
19000 0.163068
19100 0.371164
19200 0.247265
19300 0.349052
19400 0.140488
19500 0.420692
19600 0.0167514
19700 0.306482
19800 0.897519
19900 0.696731
20000 0.223154
20100 0.0454221
20200 0.1655
20300 0.561585
20400 0.275689
20500 0.307191
20600 0.0985359
20700 -0.463516
20800 0.341064
20900 0.586884
21000 0.700364
