# Time-averaged data for fix dump_rdf_12
# TimeStep Number-of-rows
# Row c_calc_rdf_12[1] c_calc_rdf_12[2] c_calc_rdf_12[3]
20000 1000
1 0.00211268 0 0
2 0.00633803 0 0
3 0.0105634 0 0
4 0.0147887 0 0
5 0.0190141 0 0
6 0.0232394 0 0
7 0.0274648 0 0
8 0.0316901 0 0
9 0.0359155 0 0
10 0.0401408 0 0
11 0.0443662 0 0
12 0.0485915 0 0
13 0.0528169 0 0
14 0.0570423 0 0
15 0.0612676 0 0
16 0.065493 0 0
17 0.0697183 0 0
18 0.0739437 0 0
19 0.078169 0 0
20 0.0823944 0 0
21 0.0866197 0 0
22 0.0908451 0 0
23 0.0950704 0 0
24 0.0992958 0 0
25 0.103521 0 0
26 0.107746 0 0
27 0.111972 0 0
28 0.116197 0 0
29 0.120423 0 0
30 0.124648 0 0
31 0.128873 0 0
32 0.133099 0 0
33 0.137324 0 0
34 0.141549 0 0
35 0.145775 0 0
36 0.15 0 0
37 0.154225 0 0
38 0.158451 0 0
39 0.162676 0 0
40 0.166901 0 0
41 0.171127 0 0
42 0.175352 0 0
43 0.179577 0 0
44 0.183803 0 0
45 0.188028 0 0
46 0.192254 0 0
47 0.196479 0 0
48 0.200704 0 0
49 0.20493 0 0
50 0.209155 0 0
51 0.21338 0 0
52 0.217606 0 0
53 0.221831 0 0
54 0.226056 0 0
55 0.230282 0 0
56 0.234507 0 0
57 0.238732 0 0
58 0.242958 0 0
59 0.247183 0 0
60 0.251408 0 0
61 0.255634 0 0
62 0.259859 0 0
63 0.264085 0 0
64 0.26831 0 0
65 0.272535 0 0
66 0.276761 0 0
67 0.280986 0 0
68 0.285211 0 0
69 0.289437 0 0
70 0.293662 0 0
71 0.297887 0 0
72 0.302113 0 0
73 0.306338 0 0
74 0.310563 0 0
75 0.314789 0 0
76 0.319014 0 0
77 0.323239 0 0
78 0.327465 0 0
79 0.33169 0 0
80 0.335915 0 0
81 0.340141 0 0
82 0.344366 0 0
83 0.348592 0 0
84 0.352817 0 0
85 0.357042 0 0
86 0.361268 0 0
87 0.365493 0 0
88 0.369718 0 0
89 0.373944 0 0
90 0.378169 0 0
91 0.382394 0 0
92 0.38662 0 0
93 0.390845 0 0
94 0.39507 0 0
95 0.399296 0 0
96 0.403521 0 0
97 0.407746 0 0
98 0.411972 0 0
99 0.416197 0 0
100 0.420423 0 0
101 0.424648 0 0
102 0.428873 0 0
103 0.433099 0 0
104 0.437324 0 0
105 0.441549 0 0
106 0.445775 0 0
107 0.45 0 0
108 0.454225 0 0
109 0.458451 0 0
110 0.462676 0 0
111 0.466901 0 0
112 0.471127 0 0
113 0.475352 0 0
114 0.479577 0 0
115 0.483803 0 0
116 0.488028 0 0
117 0.492254 0 0
118 0.496479 0 0
119 0.500704 0 0
120 0.50493 0 0
121 0.509155 0.000376847 5.75758e-06
122 0.51338 0.00312142 5.42424e-05
123 0.517606 0.018424 0.000345152
124 0.521831 0.0959402 0.00188485
125 0.526056 0.326637 0.00721212
126 0.530282 0.918535 0.0224345
127 0.534507 2.02555 0.05654
128 0.538732 3.90395 0.123317
129 0.542958 6.53064 0.236782
130 0.547183 9.80858 0.409862
131 0.551408 12.8955 0.64094
132 0.555634 15.6844 0.926318
133 0.559859 17.4169 1.24806
134 0.564085 18.1678 1.58875
135 0.56831 17.8147 1.92785
136 0.572535 16.7736 2.25189
137 0.576761 15.0396 2.54674
138 0.580986 13.2009 2.80935
139 0.585211 11.0773 3.03293
140 0.589437 9.09991 3.21926
141 0.593662 7.23667 3.36957
142 0.597887 5.74744 3.49066
143 0.602113 4.52346 3.58731
144 0.606338 3.54953 3.66422
145 0.610563 2.74267 3.72447
146 0.614789 2.15121 3.77239
147 0.619014 1.66718 3.81004
148 0.623239 1.28719 3.83951
149 0.627465 1.00758 3.86289
150 0.63169 0.802797 3.88177
151 0.635915 0.629388 3.89677
152 0.640141 0.50149 3.90888
153 0.644366 0.411482 3.91895
154 0.648592 0.313893 3.92673
155 0.652817 0.25438 3.93312
156 0.657042 0.204859 3.93833
157 0.661268 0.167055 3.94264
158 0.665493 0.144554 3.94641
159 0.669718 0.110545 3.94933
160 0.673944 0.0950581 3.95187
161 0.678169 0.078505 3.954
162 0.682394 0.0610062 3.95568
163 0.68662 0.0583381 3.9573
164 0.690845 0.0474028 3.95863
165 0.69507 0.0422092 3.95983
166 0.699296 0.036864 3.9609
167 0.703521 0.0359446 3.96194
168 0.707746 0.0297786 3.96282
169 0.711972 0.0297407 3.96371
170 0.716197 0.0235968 3.96442
171 0.720423 0.0217159 3.96509
172 0.724648 0.0187609 3.96567
173 0.728873 0.0195506 3.96628
174 0.733099 0.019345 3.96689
175 0.737324 0.0134208 3.96732
176 0.741549 0.012408 3.96773
177 0.745775 0.0112694 3.9681
178 0.75 0.01064 3.96845
179 0.754225 0.00862301 3.96874
180 0.758451 0.00739202 3.96899
181 0.762676 0.00798215 3.96926
182 0.766901 0.00778953 3.96953
183 0.771127 0.00801569 3.96981
184 0.775352 0.0101096 3.97017
185 0.779577 0.00837586 3.97047
186 0.783803 0.00864568 3.97078
187 0.788028 0.0071125 3.97104
188 0.792254 0.00999411 3.97141
189 0.796479 0.0102612 3.9718
190 0.800704 0.00958377 3.97216
191 0.80493 0.00989609 3.97254
192 0.809155 0.0115443 3.97298
193 0.81338 0.0103133 3.97339
194 0.817606 0.00841477 3.97372
195 0.821831 0.00892227 3.97407
196 0.826056 0.00962996 3.97446
197 0.830282 0.00816725 3.97479
198 0.834507 0.00938422 3.97518
199 0.838732 0.00914373 3.97556
200 0.842958 0.0106587 3.976
201 0.847183 0.00972877 3.97641
202 0.851408 0.0115405 3.97691
203 0.855634 0.0100854 3.97734
204 0.859859 0.0082618 3.9777
205 0.864085 0.00849109 3.97808
206 0.86831 0.00889285 3.97847
207 0.872535 0.00878667 3.97886
208 0.876761 0.00949147 3.97929
209 0.880986 0.0102817 3.97976
210 0.885211 0.0104332 3.98025
211 0.889437 0.0110362 3.98076
212 0.893662 0.0131211 3.98138
213 0.897887 0.0123027 3.98196
214 0.902113 0.0147656 3.98267
215 0.906338 0.014672 3.98338
216 0.910563 0.0156338 3.98415
217 0.914789 0.014691 3.98487
218 0.919014 0.0200779 3.98587
219 0.923239 0.0212519 3.98694
