# Time-averaged data for fix dump_rdf_all
# TimeStep Number-of-rows
# Row c_calc_rdf_all[1] c_calc_rdf_all[2] c_calc_rdf_all[3]
20000 1000
1 0.00211268 0 0
2 0.00633803 0 0
3 0.0105634 0 0
4 0.0147887 0 0
5 0.0190141 0 0
6 0.0232394 0 0
7 0.0274648 0 0
8 0.0316901 0 0
9 0.0359155 0 0
10 0.0401408 0 0
11 0.0443662 0 0
12 0.0485915 0 0
13 0.0528169 0 0
14 0.0570423 0 0
15 0.0612676 0 0
16 0.065493 0 0
17 0.0697183 0 0
18 0.0739437 0 0
19 0.078169 0 0
20 0.0823944 0 0
21 0.0866197 0 0
22 0.0908451 0 0
23 0.0950704 0 0
24 0.0992958 0 0
25 0.103521 0 0
26 0.107746 0 0
27 0.111972 0 0
28 0.116197 0 0
29 0.120423 0 0
30 0.124648 0 0
31 0.128873 0 0
32 0.133099 0 0
33 0.137324 0 0
34 0.141549 0 0
35 0.145775 0 0
36 0.15 0 0
37 0.154225 0 0
38 0.158451 0 0
39 0.162676 0 0
40 0.166901 0 0
41 0.171127 0 0
42 0.175352 0 0
43 0.179577 0 0
44 0.183803 0 0
45 0.188028 0 0
46 0.192254 0 0
47 0.196479 0 0
48 0.200704 0 0
49 0.20493 0 0
50 0.209155 0 0
51 0.21338 0 0
52 0.217606 0 0
53 0.221831 0 0
54 0.226056 0 0
55 0.230282 0 0
56 0.234507 0 0
57 0.238732 0 0
58 0.242958 0 0
59 0.247183 0 0
60 0.251408 0 0
61 0.255634 0 0
62 0.259859 0 0
63 0.264085 0 0
64 0.26831 0 0
65 0.272535 0 0
66 0.276761 0 0
67 0.280986 0 0
68 0.285211 0 0
69 0.289437 0 0
70 0.293662 0 0
71 0.297887 0 0
72 0.302113 0 0
73 0.306338 0 0
74 0.310563 0 0
75 0.314789 0 0
76 0.319014 0 0
77 0.323239 0 0
78 0.327465 0 0
79 0.33169 0 0
80 0.335915 0 0
81 0.340141 0 0
82 0.344366 0 0
83 0.348592 0 0
84 0.352817 0 0
85 0.357042 0 0
86 0.361268 0 0
87 0.365493 0 0
88 0.369718 0 0
89 0.373944 0 0
90 0.378169 0 0
91 0.382394 0 0
92 0.38662 0 0
93 0.390845 0 0
94 0.39507 0 0
95 0.399296 0 0
96 0.403521 0 0
97 0.407746 0 0
98 0.411972 0 0
99 0.416197 0 0
100 0.420423 0 0
101 0.424648 0 0
102 0.428873 0 0
103 0.433099 0 0
104 0.437324 0 0
105 0.441549 0 0
106 0.445775 0 0
107 0.45 0 0
108 0.454225 0 0
109 0.458451 0 0
110 0.462676 0 0
111 0.466901 0 0
112 0.471127 0 0
113 0.475352 0 0
114 0.479577 0 0
115 0.483803 0 0
116 0.488028 0 0
117 0.492254 0 0
118 0.496479 0 0
119 0.500704 0 0
120 0.50493 0 0
121 0.509155 0.000166806 3.79242e-06
122 0.51338 0.00138165 3.57285e-05
123 0.517606 0.00815511 0.000227345
124 0.521831 0.0424665 0.00124152
125 0.526056 0.144581 0.0047505
126 0.530282 0.406576 0.0147772
127 0.534507 0.896578 0.0372419
128 0.538732 1.72802 0.0812265
129 0.542958 2.89069 0.155964
130 0.547183 4.34162 0.269969
131 0.551408 5.708 0.422176
132 0.555634 6.94247 0.61015
133 0.559859 7.70931 0.822073
134 0.564085 8.04169 1.04648
135 0.56831 7.8854 1.26984
136 0.572535 7.42458 1.48328
137 0.576761 6.65705 1.67749
138 0.580986 5.84316 1.85047
139 0.585211 4.90321 1.99774
140 0.589437 4.02794 2.12047
141 0.593662 3.2032 2.21948
142 0.597887 2.54402 2.29924
143 0.602113 2.00224 2.3629
144 0.606338 1.57114 2.41356
145 0.610563 1.214 2.45325
146 0.614789 0.9522 2.48481
147 0.619014 0.737953 2.50961
148 0.623239 0.569755 2.52902
149 0.627465 0.445991 2.54442
150 0.63169 0.355346 2.55685
151 0.635915 0.278589 2.56673
152 0.640141 0.221977 2.57471
153 0.644366 0.182136 2.58134
154 0.648592 0.13894 2.58647
155 0.652817 0.112597 2.59068
156 0.657042 0.0906775 2.59411
157 0.661268 0.0739445 2.59695
158 0.665493 0.0639845 2.59943
159 0.669718 0.0489312 2.60136
160 0.673944 0.042076 2.60303
161 0.678169 0.034749 2.60443
162 0.682394 0.0270035 2.60554
163 0.68662 0.0258225 2.6066
164 0.690845 0.0209821 2.60748
165 0.69507 0.0186833 2.60827
166 0.699296 0.0163173 2.60897
167 0.703521 0.0159103 2.60966
168 0.707746 0.0131811 2.61024
169 0.711972 0.0131643 2.61083
170 0.716197 0.0104448 2.6113
171 0.720423 0.00961223 2.61174
172 0.724648 0.00830423 2.61212
173 0.728873 0.00865377 2.61252
174 0.733099 0.00856277 2.61292
175 0.737324 0.00594051 2.61321
176 0.741549 0.00549223 2.61347
177 0.745775 0.00498823 2.61372
178 0.75 0.00470965 2.61395
179 0.754225 0.00381684 2.61414
180 0.758451 0.00327197 2.6143
181 0.762676 0.00365056 2.61449
182 0.766901 0.00384263 2.61469
183 0.771127 0.00443598 2.61492
184 0.775352 0.00620496 2.61525
185 0.779577 0.00801407 2.61567
186 0.783803 0.0114992 2.61629
187 0.788028 0.0157375 2.61715
188 0.792254 0.0217162 2.61835
189 0.796479 0.0324359 2.62015
190 0.800704 0.0450551 2.62268
191 0.80493 0.0658704 2.62643
192 0.809155 0.0965632 2.63197
193 0.81338 0.12181 2.63904
194 0.817606 0.158152 2.64831
195 0.821831 0.208963 2.66069
196 0.826056 0.263458 2.67646
197 0.830282 0.321652 2.6959
198 0.834507 0.397446 2.72018
199 0.838732 0.47466 2.74946
200 0.842958 0.562408 2.78451
201 0.847183 0.654265 2.82569
202 0.851408 0.754793 2.87368
203 0.855634 0.848651 2.92816
204 0.859859 0.930407 2.98849
205 0.864085 1.03501 3.05627
206 0.86831 1.13035 3.13101
207 0.872535 1.22127 3.21255
208 0.876761 1.30397 3.30046
209 0.880986 1.37155 3.39382
210 0.885211 1.43204 3.49223
211 0.889437 1.50643 3.59675
212 0.893662 1.54298 3.70482
213 0.897887 1.60185 3.81808
214 0.902113 1.63377 3.93468
215 0.906338 1.64642 4.05329
216 0.910563 1.6641 4.1743
217 0.914789 1.6628 4.29633
218 0.919014 1.65067 4.4186
219 0.923239 1.63098 4.54052
220 0.927465 1.60986 4.66197
