# Time-averaged data for fix dump_temperature
# TimeStep c_calc_temperature
0 0.272807
100 0.267538
200 0.286226
300 0.292576
400 0.274337
500 0.269304
600 0.286031
700 0.275649
800 0.275671
900 0.273977
1000 0.274067
1100 0.297208
1200 0.280449
1300 0.271423
1400 0.286925
1500 0.293897
1600 0.28236
1700 0.25738
1800 0.270652
1900 0.268801
2000 0.29611
2100 0.288872
2200 0.274969
2300 0.278485
2400 0.272778
2500 0.265257
2600 0.289648
2700 0.283236
2800 0.282821
2900 0.284069
3000 0.280167
3100 0.274182
3200 0.285531
3300 0.295394
3400 0.265822
3500 0.272562
3600 0.265436
3700 0.287603
3800 0.283897
3900 0.269296
4000 0.287371
4100 0.270735
4200 0.27268
4300 0.277914
4400 0.27723
4500 0.291403
4600 0.27851
4700 0.27578
4800 0.273936
4900 0.279431
5000 0.269649
5100 0.26693
5200 0.30799
5300 0.283882
5400 0.276179
5500 0.285628
5600 0.272508
5700 0.288946
5800 0.273918
5900 0.279317
6000 0.284155
6100 0.279127
6200 0.262879
6300 0.27504
6400 0.283106
6500 0.264785
6600 0.275916
6700 0.263608
6800 0.279134
6900 0.277913
7000 0.29157
7100 0.289131
7200 0.285684
7300 0.280469
7400 0.269814
7500 0.272465
7600 0.289578
7700 0.275988
7800 0.273039
7900 0.282656
8000 0.283011
8100 0.292099
8200 0.285832
8300 0.28482
8400 0.265816
8500 0.289339
8600 0.2828
8700 0.271908
8800 0.267917
8900 0.282132
9000 0.290957
9100 0.279739
9200 0.29227
9300 0.270952
9400 0.274667
9500 0.309394
9600 0.302512
9700 0.259864
9800 0.258715
9900 0.2915
10000 0.286364
10100 0.282537
10200 0.276329
10300 0.271054
10400 0.291833
10500 0.272877
10600 0.271423
10700 0.278185
10800 0.274957
10900 0.264349
11000 0.274222
11100 0.287429
11200 0.292212
11300 0.283072
11400 0.261924
11500 0.276768
11600 0.275794
11700 0.287775
11800 0.282108
11900 0.297582
12000 0.289888
12100 0.279832
12200 0.268396
12300 0.281753
12400 0.300157
12500 0.288481
12600 0.281277
12700 0.273915
12800 0.289854
12900 0.301023
13000 0.270966
13100 0.267651
13200 0.286693
13300 0.287386
13400 0.266547
13500 0.277164
13600 0.269265
13700 0.309913
13800 0.264738
13900 0.277862
14000 0.298173
14100 0.278682
14200 0.277345
14300 0.267104
14400 0.273724
14500 0.272616
14600 0.274938
14700 0.296299
14800 0.28605
14900 0.289533
15000 0.281397
15100 0.273565
15200 0.284271
15300 0.293218
15400 0.287764
15500 0.278264
15600 0.258906
15700 0.272004
15800 0.280473
15900 0.292783
16000 0.267767
16100 0.269598
16200 0.289253
16300 0.283073
16400 0.275981
16500 0.271552
16600 0.267095
16700 0.293964
16800 0.282731
16900 0.264937
17000 0.305047
17100 0.274712
17200 0.274289
17300 0.262786
17400 0.286325
17500 0.278373
17600 0.284472
17700 0.279807
17800 0.268838
17900 0.275806
18000 0.30057
18100 0.283741
18200 0.282798
18300 0.274817
18400 0.276551
18500 0.268231
18600 0.280838
18700 0.267134
18800 0.284598
18900 0.287486
19000 0.285201
19100 0.272542
19200 0.272492
19300 0.287351
19400 0.284926
19500 0.288419
19600 0.284321
19700 0.278233
19800 0.287466
19900 0.290269
20000 0.279553
20100 0.297213
20200 0.287026
20300 0.289352
20400 0.306235
20500 0.282542
20600 0.277023
20700 0.27558
20800 0.265493
20900 0.278693
21000 0.283947
