ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
501
ITEM: BOX BOUNDS pp pp pp
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
136 0.242727 0.120668 -0.095332
120 -0.634725 -0.657078 0.534602
200 0.0109526 -0.105932 0.394411
272 0.672572 -0.596879 -0.146181
184 0.0401205 -0.0291784 0.417739
280 -1.6863 0.759133 0.261706
296 0.158832 1.40976 -0.252778
8 0.320919 0.813184 -0.387862
304 -0.238614 0.190692 0.339825
24 0.719301 0.275616 -0.43948
401 0.136577 -0.334215 0.845608
97 -0.582486 -1.14343 0.113864
265 -0.536924 -0.733953 0.085492
25 0.24853 -0.157327 0.425515
169 0.274158 0.95932 0.345169
1 -0.408089 0.105209 0.465321
225 0.22552 0.574729 -1.14255
426 0.370532 0.301415 1.06908
442 -0.871066 0.662463 0.26408
314 0.44153 0.488421 -0.622059
322 -0.722529 -0.478254 0.211208
234 1.20526 -0.427909 -0.445194
242 0.19866 -0.236661 0.00786685
266 -0.432668 -1.19102 -0.640068
18 -0.534567 0.214486 -0.568993
186 0.209124 -0.225579 -0.11545
194 1.73658 0.497803 0.213841
66 -0.257961 -1.53642 0.892277
155 -0.0984555 -1.01512 -0.97079
483 0.874403 -0.12393 1.02033
451 -0.0284621 -1.1998 0.607089
115 -0.384195 0.457639 -0.354679
419 0.234084 0.0764398 1.18721
99 0.198327 1.02954 -0.47442
275 0.4577 -0.0732601 0.921608
3 1.43454 0.297935 -0.414635
428 0.393218 -0.631681 -0.563498
332 0.802773 0.525777 1.04145
340 0.357264 -0.294611 -0.211135
220 -0.051346 -0.401012 -0.0974135
228 -0.00117133 1.23889 -0.0592115
20 -0.16408 0.614256 0.404447
4 -0.448806 0.859131 0.318838
109 -0.390867 -0.73355 -1.00754
37 -0.318876 -0.686998 0.000748477
13 -0.336426 0.113591 -1.19658
173 -1.0516 0.562397 -0.273816
454 0.153456 -0.456575 -0.839223
478 -0.545078 -0.283025 -0.6525
422 -0.19654 0.130758 0.978729
102 0.266786 0.537072 0.217925
350 -0.277115 -0.0625839 0.724349
142 0.597374 -1.42653 0.269849
286 0.129803 -0.240232 -1.19635
238 -0.191383 -0.202827 -0.525011
174 -0.527079 0.184673 -0.499926
6 1.30422 -0.19562 -0.460246
439 -0.464877 0.716605 1.48555
383 -0.697134 0.0499939 -0.0307288
399 0.843028 0.656665 0.904285
103 -0.077044 -0.605857 1.09475
351 0.211507 0.241802 -0.439218
343 -0.790921 0.711806 0.635201
215 -0.0596124 0.717832 1.04262
39 0.0626206 -0.227759 -0.23735
255 -0.831581 -0.465701 -1.40246
167 -1.04648 -0.543483 -0.0199171
199 -0.15237 -0.536362 -0.267078
273 1.19033 0.590546 -1.14931
177 0.9151 -0.442597 -0.0138168
209 1.14214 -0.497959 -0.722936
49 0.275873 0.391842 -0.202402
233 1.25826 -0.075537 -0.0871397
